Time,com.sun.xml.bind.v2.model.annotation.MethodLocatable Data
0,680
1,1428
2,1428
3,1428
4,1428
5,1428
6,1428
7,1428
8,1428
9,1428
10,1428
11,1428
12,1428
13,1428
14,1428
15,1428
16,1428
17,1428
18,1428
19,1428
20,1428
21,1428
22,1428
23,1428
24,1428
25,1428
26,1428
27,1428
28,1428
29,1428
30,1428
31,1428
32,1428
33,1428
34,1428
35,1428
36,1428
37,1428
38,1428
39,1428
40,1428
41,1428
42,1428
43,1428
44,1428
45,1428
46,1428
47,1428
48,1428
49,1428
50,1428
51,1428
52,1428
53,1428
54,1428
55,1428
56,1428
57,1428
58,1428
59,1428
60,1428
61,1428
62,1428
63,1428
64,1428
65,1428
66,1428
67,1428
68,1428
69,1428
70,1428
71,1428
72,1428
73,1428
74,1428
75,1428
76,1428
77,1428
78,1428
79,1428
80,1428
81,1428
82,1428
83,1428
84,1428
85,1428
86,1428
87,1428
88,1428
89,1428
90,1428
91,1428
92,1428
93,1428
94,1428
95,1428
96,1428
97,1428
98,1428
99,1428
100,1428
101,1428
102,1428
103,1428
104,1428
105,1428
106,1428
107,1428
108,1428
109,1428
110,1428
111,1428
112,1428
113,1428
114,1428
115,1428
116,1428
117,1428
118,1428
119,1428
120,1428
121,1428
122,1428
123,1428
124,1428
125,1428
126,1428
127,1428
128,1428
129,1428
130,1428
131,1428
132,1428
133,1428
134,1428
135,1428
136,1428
137,1428
138,1428
139,1428
140,1428
141,1428
142,1428
143,1428
144,1428
145,1428
146,1428
147,1428
148,1428
149,1428
150,1428
151,1428
152,1428
153,1428
154,1428
155,1428
156,1428
157,1428
158,1428
159,1428
160,1428
161,1428
162,1428
163,1428
164,1428
165,1428
166,1428
167,1428
168,1428
169,1428
170,1428
171,1428
172,1428
173,1428
174,1428
175,1428
176,1428
177,1428
178,1428
179,1428
180,1428
181,1428
182,1428
183,1428
184,1428
185,1428
186,1428
187,1428
188,1428
189,1428
190,1428
191,1428
192,1428
193,1428
194,1428
195,1428
196,1428
197,1428
198,1428
199,1428
200,1428
201,1428
202,1428
203,1428
204,1428
205,1428
