Time,com.sun.xml.bind.v2.model.impl.RuntimeAttributePropertyInfoImpl Data
0,69
1,64
2,62
3,69
4,64
5,62
6,69
7,64
8,62
9,31
10,69
11,64
12,62
13,69
14,64
15,62
16,69
17,64
18,62
19,69
20,64
21,62
22,69
23,64
24,62
25,69
26,64
27,62
28,69
29,64
30,62
31,69
32,64
33,62
34,69
35,64
36,62
37,69
38,64
39,62
40,69
41,64
42,62
43,69
44,64
45,62
46,69
47,64
48,62
49,69
50,64
51,62
52,69
53,64
54,62
55,69
56,64
57,62
58,69
59,64
60,62
61,69
62,64
63,62
64,69
65,64
66,62
67,69
68,64
69,62
70,69
71,64
72,62
73,69
74,64
75,62
76,69
77,64
78,62
79,69
80,64
81,69
82,64
83,62
84,69
85,64
86,62
87,69
88,64
89,62
90,69
91,64
92,62
93,69
94,64
95,62
96,69
97,69
98,64
99,62
100,69
101,64
102,62
103,69
104,64
105,62
106,69
107,69
108,69
109,69
110,64
111,62
112,69
113,64
114,62
115,69
116,64
117,62
118,69
119,69
120,69
121,64
122,62
123,69
124,64
125,62
126,69
127,64
128,62
129,69
130,64
131,62
132,69
133,64
134,62
135,69
136,64
137,62
138,69
139,64
140,62
141,69
142,64
143,69
144,64
145,62
146,69
147,69
148,64
149,62
150,69
151,64
152,62
153,69
154,64
155,62
156,69
157,64
158,62
159,69
160,69
161,64
162,62
163,69
164,69
165,64
166,62
167,69
168,69
169,64
170,62
171,69
172,64
173,62
174,69
175,64
176,62
