Time,com.sun.xml.bind.v2.model.impl.RuntimeClassInfoImpl$RuntimePropertySeed Data
0,13248
1,1623
2,435
3,174
4,27768
5,1623
6,435
7,27768
8,1623
9,435
10,27768
11,1623
12,435
13,27768
14,1623
15,435
16,27768
17,1623
18,435
19,174
20,27768
21,1623
22,435
23,27768
24,1623
25,435
26,27768
27,1623
28,435
29,174
30,87
31,27768
32,1623
33,435
34,27768
35,1623
36,435
37,174
38,27768
39,1623
40,435
41,27768
42,1623
43,435
44,174
45,27768
46,1623
47,435
48,27768
49,1623
50,435
51,27768
52,1623
53,435
54,174
55,27768
56,1623
57,435
58,27768
59,1623
60,435
61,27768
62,1623
63,435
64,174
65,27768
66,1623
67,435
68,27768
69,1623
70,435
71,174
72,27768
73,1623
74,435
75,27768
76,1623
77,435
78,27768
79,1623
80,435
81,27768
82,1623
83,435
84,27768
85,1623
86,435
87,27768
88,1623
89,435
90,27768
91,1623
92,435
93,174
94,87
95,27768
96,1623
97,435
98,174
99,27768
100,1623
101,435
102,174
103,27768
104,1623
105,435
106,174
107,27768
108,1623
109,435
110,27768
111,1623
112,435
113,174
114,27768
115,1623
116,435
117,174
118,27768
119,1623
120,435
121,27768
122,1623
123,435
124,27768
125,1623
126,435
127,27768
128,1623
129,435
130,27768
131,1623
132,435
133,174
134,27768
135,1623
136,435
137,174
138,27768
139,1623
140,435
141,27768
142,1623
143,435
144,27768
145,1623
146,435
147,174
148,27768
149,1623
150,435
151,174
152,27768
153,1623
154,435
155,174
156,27768
157,1623
158,435
159,174
160,27768
161,1623
162,435
163,27768
164,1623
165,435
166,174
167,27768
168,1623
169,435
170,27768
171,1623
172,435
173,27768
174,1623
175,435
176,174
177,27768
178,1623
179,435
180,27768
181,1623
182,435
183,174
184,27768
185,1623
186,435
187,27768
188,1623
189,435
190,174
191,27768
192,1623
193,435
194,27768
195,1623
196,435
197,27768
198,1623
199,435
200,27768
201,1623
202,435
203,174
204,87
205,27768
206,1623
207,435
208,174
209,27768
210,1623
211,435
212,27768
213,1623
214,435
215,174
216,27768
217,1623
218,435
219,27768
220,1623
221,435
222,27768
223,1623
224,435
225,27768
226,1623
227,435
228,27768
229,1623
230,435
231,174
232,27768
233,1623
234,435
235,174
236,27768
237,1623
238,435
239,27768
240,1623
241,435
242,174
243,27768
244,1623
245,435
246,174
247,27768
248,1623
249,435
250,27768
251,1623
252,435
253,27768
254,1623
255,435
256,27768
257,1623
258,435
259,174
260,27768
261,1623
262,435
263,27768
264,1623
265,435
266,27768
267,1623
268,435
269,27768
270,1623
271,435
272,27768
273,1623
274,435
275,27768
276,1623
277,435
278,174
279,27768
280,1623
281,435
282,174
283,27768
284,1623
285,435
286,174
287,27768
288,1623
289,435
290,27768
291,1623
292,435
293,27768
294,1623
295,435
296,27768
297,1623
298,435
299,27768
300,1623
301,435
302,27768
303,1623
304,435
305,27768
306,1623
307,435
308,27768
309,1623
310,435
311,27768
312,1623
313,435
314,174
315,27768
316,1623
317,435
318,27768
319,1623
320,435
321,27768
322,1623
323,435
324,174
325,27768
326,1623
327,435
328,174
329,27768
330,1623
331,435
332,27768
333,1623
334,435
335,27768
336,1623
337,435
338,27768
339,1623
340,435
341,27768
342,1623
343,435
344,27768
345,1623
346,435
347,174
348,27768
349,1623
350,435
351,27768
352,1623
353,435
354,27768
355,1623
356,435
357,27768
358,1623
359,435
360,27768
361,1623
362,435
363,174
364,27768
365,1623
366,435
367,27768
368,1623
369,435
370,27768
371,1623
372,435
373,174
374,27768
375,1623
376,435
377,27768
378,1623
379,435
380,27768
381,1623
382,435
383,174
384,27768
385,1623
386,435
387,27768
388,1623
389,435
390,27768
391,1623
392,435
393,174
394,27768
395,1623
396,435
397,27768
398,1623
399,435
400,27768
401,1623
402,435
403,27768
404,1623
405,435
406,27768
407,1623
408,435
409,174
410,27768
411,1623
412,435
413,27768
414,1623
415,435
416,27768
417,1623
418,435
419,27768
420,1623
421,435
422,27768
423,1623
424,435
425,27768
426,1623
427,435
428,27768
429,1623
430,435
431,27768
432,1623
433,435
434,174
435,27768
436,1623
437,435
438,27768
439,1623
440,435
441,174
442,27768
443,1623
444,435
445,27768
446,1623
447,435
448,27768
449,1623
450,435
451,27768
452,1623
453,435
454,27768
455,1623
456,435
457,27768
458,1623
459,435
460,27768
461,1623
462,435
463,174
464,27768
465,1623
466,435
467,27768
468,1623
469,435
470,27768
471,1623
472,435
473,27768
474,1623
475,435
476,27768
477,1623
478,435
479,174
480,27768
481,1623
482,435
483,27768
484,1623
485,435
486,27768
487,1623
488,435
489,27768
490,1623
491,435
492,27768
493,1623
494,435
495,27768
496,1623
497,435
498,27768
499,1623
500,435
501,27768
502,1623
503,435
504,27768
505,1623
506,435
507,27768
508,1623
509,435
510,27768
511,1623
512,435
513,27768
514,1623
515,435
516,27768
517,1623
518,435
519,27768
520,1623
521,435
522,27768
523,1623
524,435
525,27768
526,1623
527,435
528,174
529,27768
530,1623
531,435
532,27768
533,1623
534,435
535,27768
536,1623
537,435
538,27768
539,1623
540,435
541,27768
542,1623
543,435
544,174
545,27768
546,1623
547,435
548,27768
549,1623
550,435
551,27768
552,1623
553,435
554,27768
555,1623
556,435
557,27768
558,1623
559,435
560,174
561,27768
562,1623
563,435
564,27768
565,1623
566,435
567,174
568,27768
569,1623
570,435
571,27768
572,1623
573,435
574,27768
575,1623
576,435
577,27768
578,1623
579,435
580,27768
581,1623
582,435
583,27768
584,1623
585,435
586,27768
587,1623
588,435
589,174
590,27768
591,1623
592,435
593,27768
594,1623
595,435
596,27768
597,1623
598,435
599,27768
600,1623
601,435
602,27768
603,1623
604,435
605,174
606,27768
607,1623
608,435
609,174
610,27768
611,1623
612,435
613,27768
614,1623
615,435
616,27768
617,1623
618,435
619,27768
620,1623
621,435
622,27768
623,1623
624,435
625,27768
