Time,com.sun.xml.bind.v2.model.impl.RuntimeElementPropertyInfoImpl Data
0,13095
1,1422
2,319
3,58
4,27472
5,1422
6,319
7,27472
8,1422
9,319
10,27472
11,1422
12,319
13,27472
14,1422
15,319
16,27472
17,1422
18,319
19,58
20,27472
21,1422
22,319
23,27472
24,1422
25,319
26,27472
27,1422
28,319
29,58
30,29
31,27472
32,1422
33,319
34,27472
35,1422
36,319
37,58
38,27472
39,1422
40,319
41,27472
42,1422
43,319
44,58
45,27472
46,1422
47,319
48,27472
49,1422
50,319
51,27472
52,1422
53,319
54,58
55,27472
56,1422
57,319
58,27472
59,1422
60,319
61,27472
62,1422
63,319
64,58
65,27472
66,1422
67,319
68,27472
69,1422
70,319
71,58
72,27472
73,1422
74,319
75,27472
76,1422
77,319
78,27472
79,1422
80,319
81,27472
82,1422
83,319
84,27472
85,1422
86,319
87,27472
88,1422
89,319
90,27472
91,1422
92,319
93,58
94,29
95,27472
96,1422
97,319
98,58
99,27472
100,1422
101,319
102,58
103,27472
104,1422
105,319
106,58
107,27472
108,1422
109,319
110,27472
111,1422
112,319
113,58
114,27472
115,1422
116,319
117,58
118,27472
119,1422
120,319
121,27472
122,1422
123,319
124,27472
125,1422
126,319
127,27472
128,1422
129,319
130,27472
131,1422
132,319
133,58
134,27472
135,1422
136,319
137,58
138,27472
139,1422
140,319
141,27472
142,1422
143,319
144,27472
145,1422
146,319
147,58
148,27472
149,1422
150,319
151,58
152,27472
153,1422
154,319
155,58
156,27472
157,1422
158,319
159,58
160,27472
161,1422
162,319
163,27472
164,1422
165,319
166,58
167,27472
168,1422
169,319
170,27472
171,1422
172,319
173,27472
174,1422
175,319
176,58
177,27472
178,1422
179,319
180,27472
181,1422
182,319
183,58
184,27472
185,1422
186,319
187,27472
188,1422
189,319
190,58
191,27472
192,1422
193,319
194,27472
195,1422
196,319
197,27472
198,1422
199,319
200,27472
201,1422
202,319
203,58
204,29
205,27472
206,1422
207,319
208,58
209,27472
210,1422
211,319
212,27472
213,1422
214,319
215,58
216,27472
217,1422
218,319
219,27472
220,1422
221,319
222,27472
223,1422
224,319
225,27472
226,1422
227,319
228,27472
229,1422
230,319
231,58
232,27472
233,1422
234,319
235,58
236,27472
237,1422
238,319
239,27472
240,1422
241,319
242,58
243,27472
244,1422
245,319
246,58
247,27472
248,1422
249,319
250,27472
251,1422
252,319
253,27472
254,1422
255,319
256,27472
257,1422
258,319
259,58
260,27472
261,1422
262,319
263,27472
264,1422
265,319
266,27472
267,1422
268,319
269,27472
270,1422
271,319
272,27472
273,1422
274,319
275,27472
276,1422
277,319
278,58
279,27472
280,1422
281,319
282,58
283,27472
284,1422
285,319
286,58
287,27472
288,1422
289,319
290,27472
291,1422
292,319
293,27472
294,1422
295,319
296,27472
297,1422
298,319
299,27472
300,1422
301,319
302,27472
303,1422
304,319
305,27472
306,1422
307,319
308,27472
309,1422
310,319
311,27472
312,1422
313,319
314,58
315,27472
316,1422
317,319
318,27472
319,1422
320,319
321,27472
322,1422
323,319
324,58
325,27472
326,1422
327,319
328,58
329,27472
330,1422
331,319
332,27472
333,1422
334,319
335,27472
336,1422
337,319
338,27472
339,1422
340,319
341,27472
342,1422
343,319
344,27472
345,1422
346,319
347,58
348,27472
349,1422
350,319
351,27472
352,1422
353,319
354,27472
355,1422
356,319
357,27472
358,1422
359,319
360,27472
361,1422
362,319
363,58
364,27472
365,1422
366,319
367,27472
368,1422
369,319
370,27472
371,1422
372,319
373,58
374,27472
375,1422
376,319
377,27472
378,1422
379,319
380,27472
381,1422
382,319
383,58
384,27472
385,1422
386,319
387,27472
388,1422
389,319
390,27472
391,1422
392,319
393,58
394,27472
395,1422
396,319
397,27472
398,1422
399,319
400,27472
401,1422
402,319
403,27472
404,1422
405,319
406,27472
407,1422
408,319
409,58
410,27472
411,1422
412,319
413,27472
414,1422
415,319
416,27472
417,1422
418,319
419,27472
420,1422
421,319
422,27472
423,1422
424,319
425,27472
426,1422
427,319
428,27472
429,1422
430,319
431,27472
432,1422
433,319
434,58
435,27472
436,1422
437,319
438,27472
439,1422
440,319
441,58
442,27472
443,1422
444,319
445,27472
446,1422
447,319
448,27472
449,1422
450,319
451,27472
452,1422
453,319
454,27472
455,1422
456,319
457,27472
458,1422
459,319
460,27472
461,1422
462,319
463,58
464,27472
465,1422
466,319
467,27472
468,1422
469,319
470,27472
471,1422
472,319
473,27472
474,1422
475,319
476,27472
