Time,com.sun.xml.bind.v2.runtime.ClassBeanInfoImpl Data
0,4398
1,532
2,96
3,9216
4,532
5,96
6,9216
7,532
8,96
9,9216
10,532
11,96
12,9216
13,532
14,96
15,9216
16,532
17,96
18,9216
19,532
20,96
21,9216
22,532
23,96
24,9216
25,532
26,96
27,28
28,9216
29,532
30,96
31,9216
32,532
33,96
34,9216
35,532
36,96
37,9216
38,532
39,96
40,9216
41,532
42,96
43,9216
44,532
45,96
46,9216
47,532
48,96
49,9216
50,532
51,96
52,9216
53,532
54,96
55,9216
56,532
57,96
58,9216
59,532
60,96
61,9216
62,532
63,96
64,28
65,9216
66,532
67,96
68,9216
69,532
70,96
71,9216
72,532
73,96
74,9216
75,532
76,96
77,9216
78,532
79,96
80,9216
81,532
82,96
83,9216
84,532
85,96
86,28
87,9216
88,532
89,96
90,9216
91,532
92,96
93,9216
94,532
95,96
96,9216
97,532
98,96
99,9216
100,532
101,96
102,9216
103,532
104,96
105,9216
106,532
107,96
108,9216
109,532
110,96
111,9216
112,532
113,96
114,9216
115,532
116,96
117,9216
118,532
119,96
120,9216
121,532
122,96
123,28
124,9216
125,532
126,96
127,9216
128,532
129,96
130,9216
131,532
132,96
133,9216
134,532
135,96
136,9216
137,532
138,96
139,9216
140,532
141,96
142,28
143,9216
144,532
145,96
146,9216
147,532
148,96
149,9216
150,532
151,96
152,9216
153,532
154,96
155,9216
156,532
157,96
158,28
159,9216
160,532
161,96
162,9216
163,532
164,96
165,9216
166,532
167,96
168,9216
169,532
170,96
171,9216
172,532
173,96
174,9216
175,532
176,96
177,9216
178,532
179,96
180,9216
181,532
182,96
183,28
184,9216
185,532
186,96
187,9216
188,532
189,96
190,9216
191,532
192,96
193,9216
194,532
195,96
196,9216
197,532
198,96
199,9216
200,532
201,96
202,9216
203,532
204,96
205,9216
206,532
207,96
208,28
209,9216
210,532
211,96
212,9216
213,532
214,96
215,9216
216,532
217,96
218,9216
219,532
220,96
221,9216
222,532
223,96
224,9216
225,532
226,96
227,9216
228,532
229,96
230,9216
231,532
232,96
233,9216
234,532
235,96
236,9216
237,532
238,96
239,9216
240,532
241,96
242,9216
243,532
244,96
245,9216
246,532
247,96
248,9216
249,532
250,96
251,28
252,9216
253,532
254,96
255,9216
256,532
257,96
258,9216
259,532
260,96
261,9216
262,532
263,96
264,9216
265,532
266,96
267,9216
268,532
269,96
270,9216
271,532
272,96
273,9216
274,532
275,96
276,9216
277,532
278,96
279,9216
280,532
281,96
282,9216
283,532
284,96
285,9216
286,532
287,96
288,9216
289,532
290,96
291,9216
292,532
293,96
294,9216
295,532
296,96
297,28
298,9216
299,532
300,96
301,9216
302,532
303,96
304,9216
305,532
306,96
307,9216
308,532
309,96
310,9216
311,532
312,96
313,9216
314,532
315,96
316,28
317,9216
318,532
319,96
320,9216
321,532
322,96
323,9216
324,532
325,96
326,9216
327,532
328,96
329,9216
330,532
331,96
332,28
333,9216
334,532
335,96
336,9216
337,532
338,96
339,9216
340,532
341,96
342,9216
343,532
344,96
345,9216
346,532
347,96
348,9216
349,532
350,96
351,9216
352,532
353,96
354,9216
355,532
356,96
357,9216
358,532
359,96
360,9216
361,532
362,96
363,9216
364,532
365,96
366,9216
367,532
368,96
369,9216
370,532
371,96
372,9216
373,532
374,96
375,9216
376,532
377,96
378,9216
379,532
380,96
381,9216
382,532
383,96
384,9216
385,532
386,96
387,9216
388,532
389,96
390,9216
391,532
392,96
393,9216
394,532
395,96
396,9216
397,532
398,96
399,9216
400,532
401,96
402,9216
403,532
404,96
405,9216
406,532
407,96
408,9216
409,532
410,96
411,9216
412,532
413,96
414,9216
415,532
416,96
417,9216
418,532
419,96
420,9216
421,532
422,96
423,9216
424,532
425,96
426,9216
427,532
428,96
429,9216
430,532
431,96
432,9216
433,532
434,96
435,9216
436,532
437,96
438,9216
439,532
440,96
441,9216
442,532
443,96
444,9216
445,532
446,96
447,9216
448,532
449,96
450,9216
451,532
452,96
453,9216
454,532
455,96
456,9216
457,532
458,96
459,9216
460,532
461,96
462,9216
463,532
464,96
465,9216
466,532
467,96
468,9216
469,532
470,96
471,9216
472,532
473,96
474,9216
475,532
476,96
477,9216
478,532
479,96
480,9216
481,532
482,96
483,9216
484,532
485,96
486,9216
487,532
488,96
489,28
490,9216
491,532
492,96
493,9216
494,532
495,96
496,9216
497,532
498,96
499,9216
500,532
501,9216
502,532
503,96
504,28
505,9216
506,532
507,96
508,9216
509,532
510,96
511,9216
512,532
513,96
514,9216
515,532
516,96
517,9216
518,532
519,96
520,9216
521,532
522,96
523,9216
524,532
525,96
526,28
527,9216
528,532
529,96
530,9216
531,532
532,96
533,9216
534,532
535,96
536,9216
537,532
538,96
539,9216
540,532
541,9216
542,532
543,96
544,9216
545,532
546,96
547,9216
548,532
549,96
550,9216
551,532
552,96
553,9216
554,532
555,96
556,9216
557,532
558,96
559,9216
560,532
561,96
562,9216
563,532
564,96
565,9216
566,532
567,96
568,9216
569,532
570,96
571,9216
572,532
573,96
574,9216
575,532
576,96
577,9216
578,532
579,96
580,9216
581,532
582,96
583,9216
584,532
585,96
586,9216
587,532
588,96
589,9216
590,532
591,96
592,9216
593,532
594,96
595,9216
596,532
597,96
598,9216
599,532
600,96
601,9216
602,532
603,96
604,9216
605,532
606,96
607,9216
608,532
609,96
610,9216
611,532
612,96
613,9216
614,532
615,96
616,9216
617,532
618,96
619,9216
620,532
621,96
622,9216
623,532
624,96
625,9216
626,532
627,96
628,9216
629,532
