Time,com.sun.xml.bind.v2.runtime.Name Data
0,21634
1,2577
2,600
3,166
4,45372
5,2577
6,600
7,166
8,45372
9,2577
10,600
11,166
12,45372
13,2577
14,600
15,166
16,45372
17,2577
18,600
19,166
20,45372
21,2577
22,600
23,166
24,45372
25,2577
26,600
27,45372
28,2577
29,600
30,166
31,45372
32,2577
33,600
34,166
35,83
36,45372
37,2577
38,600
39,166
40,45372
41,2577
42,600
43,166
44,45372
45,2577
46,600
47,166
48,45372
49,2577
50,600
51,166
52,45372
53,2577
54,600
55,166
56,45372
57,2577
58,600
59,166
60,45372
61,2577
62,600
63,166
64,45372
65,2577
66,600
67,166
68,45372
69,2577
70,600
71,166
72,45372
73,2577
74,600
75,166
76,83
77,45372
78,2577
79,600
80,166
81,45372
82,2577
83,600
84,166
85,83
86,45372
87,2577
88,600
89,166
90,45372
91,2577
92,600
93,166
94,45372
95,2577
96,600
97,166
98,45372
99,2577
100,600
101,166
102,45372
103,2577
104,600
105,45372
106,2577
107,600
108,45372
109,2577
110,600
111,166
112,83
113,45372
114,2577
115,600
116,166
117,45372
118,2577
119,600
120,166
121,83
122,45372
123,2577
124,600
125,166
126,45372
127,2577
128,600
129,45372
130,2577
131,600
132,166
133,45372
134,2577
135,600
136,166
137,45372
138,2577
139,600
140,45372
141,2577
142,600
143,45372
144,2577
145,600
146,166
147,45372
148,2577
149,600
150,166
151,45372
152,2577
153,600
154,166
155,45372
156,2577
157,600
158,166
159,83
160,45372
161,2577
162,600
163,45372
164,2577
165,600
166,166
167,45372
168,2577
169,600
170,166
171,45372
172,2577
173,600
174,166
175,45372
176,2577
177,600
178,166
179,45372
180,2577
181,600
182,166
183,83
184,45372
185,2577
186,600
187,45372
188,2577
189,600
190,166
191,45372
192,2577
193,600
194,45372
195,2577
196,600
197,166
198,45372
199,2577
200,600
201,166
202,83
203,45372
204,2577
205,600
206,45372
207,2577
208,600
209,166
210,45372
211,2577
212,600
213,166
214,45372
215,2577
216,600
217,166
218,45372
219,2577
220,600
221,45372
222,2577
223,600
224,166
225,45372
226,2577
227,600
228,166
229,45372
230,2577
231,600
232,166
233,83
234,45372
235,2577
236,600
237,166
238,83
239,45372
240,2577
241,600
242,45372
243,2577
244,600
245,166
246,45372
247,2577
248,600
249,166
250,45372
251,2577
252,600
253,45372
254,2577
255,600
256,166
257,45372
258,2577
259,600
260,166
261,45372
262,2577
263,600
264,166
265,83
266,45372
267,2577
268,600
269,166
270,83
271,45372
272,2577
273,600
274,45372
275,2577
276,600
277,166
278,45372
279,2577
280,600
281,166
282,45372
283,2577
284,600
285,166
286,45372
287,2577
288,600
289,45372
290,2577
291,600
292,45372
293,2577
294,600
295,166
296,45372
297,2577
298,600
299,166
300,45372
301,2577
302,600
303,166
304,45372
305,2577
306,600
307,45372
308,2577
309,600
310,45372
311,2577
312,600
313,45372
314,2577
315,600
316,166
317,83
318,45372
319,2577
320,600
321,166
322,45372
323,2577
324,600
325,166
326,45372
327,2577
328,600
329,166
330,45372
331,2577
332,600
333,166
334,45372
335,2577
336,600
337,166
338,45372
339,2577
340,600
341,166
342,45372
343,2577
344,600
345,166
346,45372
347,2577
348,600
349,166
350,45372
351,2577
352,600
353,166
354,45372
355,2577
356,600
357,166
358,45372
359,2577
360,600
361,166
362,45372
363,2577
364,600
365,166
366,45372
367,2577
368,600
369,166
370,45372
371,2577
372,600
373,166
374,45372
375,2577
376,600
377,166
378,83
379,45372
380,2577
381,600
382,45372
383,2577
384,600
385,45372
386,2577
387,600
388,166
389,45372
390,2577
391,600
392,166
393,45372
394,2577
395,600
396,166
397,45372
398,2577
399,600
400,166
401,83
402,45372
403,2577
404,600
405,45372
406,2577
407,600
408,45372
409,2577
410,600
411,166
412,45372
413,2577
414,600
415,166
416,45372
417,2577
418,600
419,166
420,83
421,45372
422,2577
423,600
424,166
425,45372
426,2577
427,600
428,166
429,45372
430,2577
431,600
432,166
433,45372
434,2577
435,600
436,166
437,45372
438,2577
439,600
440,166
441,45372
442,2577
443,600
444,166
445,45372
446,2577
447,600
448,45372
449,2577
450,600
451,166
452,45372
453,2577
454,600
455,166
456,45372
457,2577
458,600
459,45372
460,2577
461,600
462,166
463,45372
464,2577
465,600
466,45372
467,2577
468,600
469,45372
470,2577
471,600
472,166
473,45372
474,2577
475,600
476,45372
477,2577
478,600
479,45372
480,2577
481,600
482,166
483,45372
484,2577
485,600
486,45372
487,2577
488,600
489,45372
490,2577
491,600
492,45372
493,2577
494,600
495,45372
496,2577
497,600
498,166
499,45372
500,2577
501,600
502,45372
503,2577
504,600
505,166
506,45372
507,2577
508,600
509,45372
510,2577
511,600
512,45372
513,2577
514,600
515,45372
516,2577
517,600
518,45372
519,2577
520,600
521,166
522,45372
523,2577
524,600
525,45372
526,2577
527,600
528,166
529,45372
530,2577
531,600
532,45372
533,2577
534,600
535,45372
536,2577
537,600
538,166
539,45372
540,2577
541,600
542,45372
543,2577
544,600
545,166
546,45372
547,2577
548,600
549,45372
550,2577
551,600
552,45372
553,2577
554,600
555,166
556,45372
557,2577
558,600
559,45372
560,2577
561,600
562,166
563,45372
564,2577
565,600
566,45372
567,2577
568,600
569,45372
570,2577
571,600
572,166
573,45372
574,2577
575,600
576,45372
577,2577
578,600
579,45372
580,2577
581,600
582,166
583,45372
584,2577
585,600
586,45372
587,2577
588,600
589,45372
590,2577
591,600
592,166
593,45372
594,2577
595,600
596,166
597,45372
598,2577
599,600
600,166
601,83
602,45372
603,2577
604,600
605,166
606,45372
607,2577
608,600
609,166
610,45372
611,2577
612,600
613,45372
614,2577
615,600
616,45372
617,2577
618,600
619,166
620,83
621,45372
622,2577
623,600
624,166
625,45372
626,2577
627,600
628,45372
629,2577
630,600
631,45372
632,2577
633,600
634,45372
635,2577
636,600
637,166
638,45372
639,2577
640,600
641,166
642,45372
643,2577
644,600
645,166
646,83
647,45372
648,2577
649,600
650,166
651,45372
652,2577
653,600
654,45372
655,2577
656,600
657,45372
658,2577
659,600
660,45372
661,2577
662,600
663,45372
664,2577
665,600
666,45372
667,2577
668,600
669,166
670,45372
671,2577
672,600
673,166
674,45372
675,2577
676,600
677,166
678,45372
679,2577
680,600
681,45372
682,2577
683,600
684,45372
685,2577
686,600
687,166
688,83
689,45372
690,2577
691,600
692,166
693,45372
694,2577
695,600
696,166
697,45372
698,2577
699,600
700,166
701,45372
702,2577
703,600
704,45372
705,2577
706,600
707,45372
708,2577
709,600
710,166
711,45372
712,2577
713,600
714,45372
715,2577
716,600
717,45372
718,2577
719,600
720,45372
721,2577
722,600
723,45372
724,2577
725,600
726,45372
727,2577
728,600
729,166
730,45372
731,2577
732,600
733,166
734,45372
735,2577
736,600
737,45372
738,2577
739,600
740,166
741,45372
742,2577
743,600
744,166
745,45372
746,2577
747,600
748,45372
749,2577
750,600
751,166
752,45372
753,2577
754,600
755,166
756,45372
757,2577
758,600
759,166
760,45372
761,2577
762,600
763,166
764,45372
765,2577
766,600
767,166
768,45372
769,2577
770,600
