Time,com.sun.xml.bind.v2.runtime.output.Encoded Data
0,852
1,831
2,924
3,840
4,915
5,840
6,906
7,840
8,897
9,840
10,843
11,840
12,942
13,840
14,906
15,840
16,834
17,831
18,924
19,831
20,897
21,831
22,906
23,831
24,879
25,831
26,924
27,831
28,924
29,831
30,879
31,831
32,915
33,831
34,933
35,831
36,852
37,831
38,888
39,831
40,843
41,831
42,888
43,831
44,924
45,831
46,915
47,831
48,933
49,831
50,978
51,831
52,933
53,831
54,831
55,825
56,870
57,831
58,831
59,825
60,870
61,831
62,969
63,831
64,870
65,831
66,870
67,831
68,942
69,831
70,942
71,831
72,933
73,831
74,888
75,831
76,870
77,831
78,852
79,831
80,942
81,831
82,888
83,831
84,870
85,831
86,834
87,831
88,897
89,831
90,834
91,831
92,942
93,831
94,870
95,831
96,987
97,831
98,906
99,831
100,834
101,831
102,942
103,831
104,879
105,831
106,915
107,831
108,879
109,831
110,978
111,831
112,951
113,831
114,888
115,831
116,831
117,825
118,834
119,831
120,951
121,831
122,861
123,831
124,906
125,831
126,969
127,831
128,852
129,831
130,906
131,831
132,831
133,825
134,834
135,831
136,978
137,831
138,831
139,825
140,843
141,831
142,906
143,831
144,951
145,831
146,960
147,831
148,870
149,831
150,888
151,831
152,897
153,831
154,942
155,831
156,978
157,831
158,996
159,831
160,852
161,831
162,852
163,831
164,852
165,831
166,888
167,831
168,906
169,831
170,897
171,831
172,915
173,831
174,906
175,831
176,906
177,831
178,906
179,831
180,933
181,831
182,915
183,831
184,888
185,831
186,879
187,831
188,852
189,831
190,834
191,831
192,1005
193,831
194,987
195,831
196,933
197,831
198,924
199,831
200,897
201,831
202,834
203,831
204,1005
205,831
206,969
207,831
208,897
209,831
210,879
211,831
212,843
213,831
214,924
215,831
216,906
217,831
218,861
219,831
220,942
221,831
222,888
223,831
224,861
225,831
226,969
227,831
228,897
229,831
230,870
231,831
232,969
233,831
234,888
235,831
236,1050
237,831
238,951
239,831
240,852
241,831
242,996
243,831
244,1005
245,831
246,897
247,831
248,1041
249,831
250,960
251,831
252,1023
253,831
254,951
255,831
256,870
257,831
258,933
259,831
260,870
261,831
262,987
263,831
264,1041
265,831
266,951
267,831
268,1041
269,831
270,897
271,831
272,1014
273,831
274,879
275,831
276,969
277,831
278,1041
279,831
280,924
281,831
282,1014
283,831
284,870
285,831
286,987
287,831
288,1077
289,831
290,897
291,831
292,1050
293,831
294,879
295,831
296,960
297,831
298,1059
299,831
300,924
301,831
302,960
303,831
304,1059
305,831
306,924
307,831
308,942
309,831
310,1041
311,831
312,897
313,831
314,924
315,831
316,831
317,825
318,906
319,831
320,933
321,831
322,1005
323,831
324,1095
325,831
326,843
327,831
328,906
329,831
330,978
331,831
332,969
333,831
334,1041
335,831
336,870
337,831
338,888
339,831
340,834
341,831
342,906
343,831
344,942
345,831
346,951
347,831
348,1023
349,831
350,1059
351,831
352,1059
353,831
354,870
355,831
356,879
357,831
358,897
359,831
360,933
361,831
362,969
363,831
364,843
365,831
366,870
367,831
368,906
369,831
370,915
371,831
372,942
373,831
374,969
375,831
376,924
377,831
378,987
379,831
380,978
381,831
382,987
383,831
384,1005
385,831
386,1032
387,831
388,906
389,831
390,933
391,831
392,960
393,831
394,906
395,831
396,924
397,831
398,942
399,831
400,897
401,831
402,915
403,831
404,852
405,831
406,888
407,831
408,870
409,831
410,1095
411,831
