Time,com.sun.xml.bind.v2.runtime.property.ArrayERProperty$ReceiverImpl Data
0,1257
1,206
2,2632
3,2632
4,206
5,2632
6,2632
7,2632
8,206
9,2632
10,2632
11,2632
12,206
13,101
14,78
15,2632
16,2632
17,206
18,2632
19,206
20,2632
21,206
22,2632
23,2632
24,2632
25,206
26,2632
27,2632
28,206
29,2632
30,206
31,2632
32,206
33,2632
34,206
35,101
36,2632
37,206
38,2632
39,2632
40,206
41,2632
42,2632
43,2632
44,2632
45,206
46,101
47,2632
48,206
49,2632
50,206
51,2632
52,206
53,2632
54,2632
55,206
56,2632
57,206
58,2632
59,2632
60,2632
61,2632
62,2632
63,206
64,2632
65,206
66,101
67,2632
68,2632
69,206
70,2632
71,206
72,2632
73,206
74,2632
75,206
76,2632
77,206
78,101
79,2632
80,2632
81,206
82,2632
83,2632
84,2632
85,206
86,101
87,2632
88,2632
89,206
90,2632
91,206
92,2632
93,206
94,2632
95,2632
96,2632
97,206
98,2632
99,206
100,101
101,2632
102,206
103,2632
104,2632
105,206
106,2632
107,206
108,2632
109,2632
110,206
111,2632
112,206
113,2632
114,206
115,101
116,2632
117,206
118,2632
119,2632
120,206
121,2632
122,206
123,2632
124,2632
125,2632
126,2632
127,206
128,2632
129,206
130,2632
131,2632
132,2632
133,2632
134,2632
135,206
136,101
137,2632
138,206
139,2632
140,206
141,2632
142,2632
143,2632
144,206
145,2632
146,206
147,2632
148,2632
149,206
150,2632
151,2632
152,2632
153,206
154,2632
155,206
156,2632
157,206
158,2632
159,206
160,2632
161,206
162,101
163,2632
164,2632
165,2632
166,2632
167,2632
168,2632
169,206
170,101
171,2632
172,2632
173,2632
174,206
175,2632
176,206
177,2632
178,206
179,101
180,2632
181,2632
182,206
183,2632
184,206
185,2632
186,2632
187,2632
188,206
189,2632
190,2632
191,2632
192,206
193,2632
194,2632
195,206
196,2632
197,2632
198,2632
199,206
200,2632
201,2632
202,2632
203,206
204,2632
205,2632
206,2632
207,2632
208,2632
209,206
210,2632
211,2632
212,206
213,2632
214,2632
215,2632
216,2632
217,2632
218,206
219,2632
220,2632
221,206
222,2632
223,2632
224,2632
225,2632
226,2632
227,206
228,2632
229,2632
230,2632
231,206
232,2632
233,2632
234,206
235,2632
236,2632
237,2632
238,2632
239,2632
240,2632
241,2632
242,2632
243,2632
244,206
245,2632
246,206
247,2632
248,206
249,101
250,2632
251,2632
252,206
253,2632
254,2632
255,2632
256,206
257,101
258,2632
259,206
260,2632
261,2632
262,2632
263,2632
264,206
265,2632
266,206
267,2632
268,206
269,101
270,2632
271,206
272,2632
273,2632
274,2632
275,2632
276,2632
277,2632
278,206
279,2632
280,206
281,2632
282,206
283,2632
284,2632
285,2632
286,206
287,2632
288,206
289,2632
290,2632
291,206
292,2632
293,2632
294,2632
295,2632
296,2632
297,2632
298,2632
299,2632
300,2632
301,2632
302,2632
303,2632
304,2632
305,2632
306,2632
307,206
308,2632
309,206
310,2632
311,206
312,2632
313,206
314,2632
315,206
316,2632
