Time,com.sun.xml.bind.v2.runtime.property.ArrayElementLeafProperty Data
0,140
1,294
2,294
3,294
4,294
5,294
6,294
7,294
8,294
9,294
10,294
11,294
12,294
13,294
14,294
15,294
16,294
17,294
18,294
19,294
20,294
21,294
22,294
23,294
24,294
25,294
26,294
27,294
28,294
29,294
30,294
31,294
32,294
33,294
34,294
35,294
36,294
37,294
38,294
39,294
40,294
41,294
42,294
43,294
44,294
45,294
46,294
47,294
48,294
49,294
50,294
51,294
52,294
53,294
54,294
55,294
56,294
57,294
58,294
59,294
60,294
61,294
62,294
63,294
64,294
65,294
66,294
67,294
68,294
69,294
70,294
71,294
72,294
73,294
74,294
75,294
76,294
77,294
78,294
79,294
80,294
81,294
82,294
83,294
84,294
85,294
86,294
87,294
88,294
89,294
90,294
91,294
92,294
93,294
94,294
95,294
96,294
97,294
98,294
99,294
100,294
101,294
102,294
103,294
104,294
105,294
106,294
107,294
108,294
109,294
110,294
111,294
112,294
113,294
114,294
115,294
116,294
117,294
118,294
119,294
120,294
121,294
122,294
123,294
124,294
125,294
126,294
127,294
128,294
129,294
130,294
131,294
132,294
133,294
134,294
135,294
136,294
137,294
138,294
139,294
140,294
141,294
142,294
143,294
144,294
145,294
146,294
147,294
148,294
149,294
150,294
151,294
152,294
153,294
154,294
155,294
156,294
157,294
158,294
159,294
160,294
161,294
162,294
163,294
164,294
165,294
166,294
167,294
168,294
169,294
170,294
171,294
172,294
173,294
174,294
175,294
176,294
177,294
178,294
179,294
180,294
181,294
182,294
183,294
184,294
185,294
186,294
187,294
188,294
189,294
190,294
191,294
192,294
193,294
194,294
195,294
196,294
197,294
198,294
199,294
200,294
201,294
202,294
203,294
204,294
205,294
