Time,com.sun.xml.bind.v2.runtime.property.SingleElementLeafProperty Data
0,10678
1,1079
2,186
3,22415
4,1079
5,186
6,22415
7,1079
8,186
9,22415
10,1079
11,186
12,22415
13,1079
14,186
15,22415
16,1079
17,186
18,22415
19,1079
20,186
21,22415
22,1079
23,186
24,22415
25,1079
26,186
27,22415
28,1079
29,186
30,22415
31,1079
32,186
33,22415
34,1079
35,186
36,22415
37,1079
38,186
39,22415
40,1079
41,186
42,22415
43,1079
44,186
45,22415
46,1079
47,186
48,22415
49,1079
50,186
51,22415
52,1079
53,186
54,22415
55,1079
56,186
57,22415
58,1079
59,186
60,22415
61,1079
62,186
63,22415
64,1079
65,186
66,22415
67,1079
68,186
69,22415
70,1079
71,186
72,22415
73,1079
74,186
75,22415
76,1079
77,186
78,22415
79,1079
80,186
81,22415
82,1079
83,186
84,22415
85,1079
86,186
87,22415
88,1079
89,186
90,22415
91,1079
92,186
93,22415
94,1079
95,186
96,22415
97,1079
98,186
99,22415
100,1079
101,186
102,22415
103,1079
104,186
105,22415
106,1079
107,186
108,22415
109,1079
110,186
111,22415
112,1079
113,186
114,22415
115,1079
116,186
117,22415
118,1079
119,186
120,22415
121,1079
122,186
123,22415
124,1079
125,186
126,22415
127,1079
128,186
129,22415
130,1079
131,186
132,22415
133,1079
134,186
135,22415
136,1079
137,186
138,22415
139,1079
140,186
141,22415
142,1079
143,186
144,22415
145,1079
146,186
147,22415
148,1079
149,186
150,22415
151,1079
152,186
153,22415
154,1079
155,186
156,22415
157,1079
158,186
159,22415
160,1079
161,186
162,22415
163,1079
164,186
165,22415
166,1079
167,186
168,22415
169,1079
170,186
171,22415
172,1079
173,186
174,22415
175,1079
176,186
177,22415
178,1079
179,186
180,22415
181,1079
182,186
183,22415
184,1079
185,186
186,22415
187,1079
188,186
189,22415
190,1079
191,186
192,22415
193,1079
194,186
195,22415
196,1079
197,186
198,22415
199,1079
200,186
201,22415
202,1079
203,186
204,22415
205,1079
206,186
207,22415
208,1079
209,186
210,22415
211,1079
212,186
213,22415
214,1079
215,186
216,22415
217,1079
218,186
219,22415
220,1079
221,186
222,22415
223,1079
224,186
225,22415
226,1079
227,186
228,22415
229,1079
230,186
231,22415
232,1079
233,186
234,22415
235,1079
236,186
237,22415
238,1079
239,186
240,22415
241,1079
242,186
243,22415
244,1079
245,186
246,22415
247,1079
248,186
249,22415
250,1079
251,186
252,22415
253,1079
254,186
255,22415
256,1079
257,186
258,22415
259,1079
260,186
261,22415
262,1079
263,186
264,22415
265,1079
266,186
267,22415
268,1079
269,186
270,22415
271,1079
272,186
273,22415
274,1079
275,186
276,22415
277,1079
278,186
279,22415
280,1079
281,186
282,22415
283,1079
284,186
285,22415
286,1079
287,186
288,22415
289,1079
290,186
291,22415
292,1079
293,186
294,22415
295,1079
296,186
297,22415
298,1079
299,186
300,22415
301,1079
302,186
303,22415
304,1079
305,186
306,22415
307,1079
308,186
309,22415
310,1079
311,186
312,22415
313,1079
314,186
315,22415
316,1079
317,186
318,22415
319,1079
320,186
321,22415
322,1079
323,186
324,22415
325,1079
326,186
327,22415
328,1079
329,186
330,22415
331,1079
332,186
333,22415
334,1079
335,186
336,22415
337,1079
338,186
339,22415
340,1079
341,186
342,22415
343,1079
344,186
345,22415
346,1079
347,186
348,22415
349,1079
350,186
351,22415
352,1079
353,186
354,22415
355,1079
356,186
357,22415
358,1079
359,186
360,22415
361,1079
362,186
363,22415
364,1079
365,186
366,22415
367,1079
368,186
369,22415
370,1079
371,186
372,22415
373,1079
374,186
375,22415
376,1079
377,186
378,22415
379,1079
380,22415
381,1079
382,186
383,22415
384,1079
385,186
386,22415
387,1079
388,186
389,22415
390,1079
391,186
392,22415
393,1079
394,186
395,22415
396,1079
397,22415
398,1079
399,186
400,22415
401,1079
402,186
403,22415
404,1079
405,186
406,22415
407,1079
408,186
409,22415
410,1079
411,186
412,22415
413,1079
414,186
415,22415
416,1079
417,186
418,22415
419,1079
420,186
421,22415
422,1079
423,186
424,22415
425,1079
426,186
427,22415
428,1079
429,186
430,22415
431,1079
432,22415
433,1079
434,186
435,22415
436,1079
437,186
438,22415
439,1079
440,186
441,22415
442,1079
443,186
444,22415
445,1079
446,22415
447,1079
448,186
449,22415
450,1079
451,186
452,22415
453,1079
454,22415
455,1079
456,186
457,22415
458,1079
459,186
460,22415
461,1079
462,22415
463,1079
464,186
465,22415
466,1079
467,186
468,22415
469,1079
470,186
471,22415
472,1079
473,186
474,22415
475,1079
476,186
477,22415
478,1079
479,186
480,22415
481,1079
482,22415
483,1079
484,186
485,22415
486,1079
487,186
488,22415
489,1079
490,186
491,22415
492,1079
493,186
494,22415
495,1079
496,186
497,22415
498,1079
499,186
500,22415
501,1079
502,186
503,22415
504,1079
505,186
506,22415
507,1079
508,186
509,22415
510,1079
511,186
512,22415
513,1079
514,186
515,22415
516,1079
517,186
518,22415
519,1079
520,22415
521,1079
522,22415
523,1079
524,186
525,22415
526,1079
527,186
528,22415
529,1079
530,186
531,22415
532,1079
533,186
534,22415
535,1079
536,186
537,22415
538,1079
539,186
540,22415
541,1079
542,186
543,22415
544,1079
545,186
546,22415
547,1079
548,186
549,22415
550,1079
551,186
552,22415
553,1079
554,186
555,22415
556,1079
557,186
558,22415
559,1079
560,186
561,22415
562,1079
563,186
564,22415
565,1079
566,186
567,22415
568,1079
569,186
570,22415
571,1079
572,186
573,22415
574,1079
575,186
576,22415
577,1079
578,186
579,22415
580,1079
581,186
582,22415
583,1079
584,186
585,22415
586,1079
587,186
588,22415
589,1079
590,186
591,22415
592,1079
593,186
594,22415
595,1079
596,186
