Time,com.sun.xml.bind.v2.runtime.reflect.Lister$CollectionLister Data
0,1217
1,2548
2,2548
3,2548
4,2548
5,2548
6,206
7,2548
8,2548
9,2548
10,206
11,2548
12,2548
13,2548
14,2548
15,2548
16,2548
17,2548
18,2548
19,2548
20,2548
21,206
22,2548
23,2548
24,206
25,2548
26,2548
27,2548
28,2548
29,2548
30,2548
31,2548
32,206
33,2548
34,206
35,2548
36,206
37,2548
38,2548
39,2548
40,206
41,2548
42,206
43,2548
44,2548
45,2548
46,2548
47,2548
48,206
49,2548
50,206
51,2548
52,2548
53,2548
54,2548
55,206
56,2548
57,2548
58,206
59,2548
60,2548
61,2548
62,2548
63,2548
64,206
65,2548
66,2548
67,2548
68,2548
69,2548
70,2548
71,2548
72,2548
73,206
74,2548
75,206
76,2548
77,2548
78,2548
79,2548
80,2548
81,2548
82,2548
83,206
84,2548
85,206
86,2548
87,2548
88,2548
89,206
90,2548
91,2548
92,2548
93,2548
94,206
95,2548
96,2548
97,2548
98,2548
99,2548
100,2548
101,206
102,2548
103,2548
104,206
105,2548
106,2548
107,2548
108,2548
109,2548
110,2548
111,2548
112,2548
113,2548
114,2548
115,2548
116,2548
117,2548
118,206
119,2548
120,2548
121,2548
122,2548
123,2548
124,2548
125,206
126,2548
127,2548
128,2548
129,2548
130,2548
131,206
132,2548
133,2548
134,2548
135,2548
136,2548
137,2548
138,2548
139,2548
140,2548
141,2548
142,2548
143,2548
144,2548
145,2548
146,206
147,2548
148,2548
149,2548
150,2548
151,2548
152,2548
153,2548
154,2548
155,2548
156,2548
157,206
158,2548
159,2548
160,2548
161,2548
162,2548
163,2548
164,2548
165,2548
166,2548
167,2548
168,2548
169,2548
170,2548
171,2548
172,2548
173,2548
174,2548
175,2548
176,2548
177,2548
178,2548
179,2548
180,2548
181,2548
182,2548
183,2548
184,2548
185,2548
186,206
187,2548
188,2548
189,2548
190,2548
191,2548
192,206
193,2548
194,2548
195,2548
196,2548
197,2548
198,206
199,2548
200,2548
201,206
202,2548
203,2548
204,2548
205,2548
206,2548
207,2548
208,2548
209,206
210,2548
211,2548
212,2548
213,2548
214,2548
215,206
216,2548
217,2548
218,2548
219,2548
220,2548
221,2548
222,2548
223,2548
224,2548
225,2548
226,2548
227,2548
228,2548
229,2548
230,2548
231,2548
232,2548
233,2548
234,2548
235,2548
236,2548
237,2548
238,2548
