Time,com.sun.xml.bind.v2.runtime.reflect.NullSafeAccessor Data
0,720
1,1512
2,1512
3,1512
4,1512
5,1512
6,1512
7,1512
8,1512
9,1512
10,1512
11,1512
12,1512
13,1512
14,1512
15,1512
16,1512
17,1512
18,1512
19,1512
20,1512
21,1512
22,1512
23,1512
24,1512
25,1512
26,1512
27,1512
28,1512
29,1512
30,1512
31,1512
32,1512
33,1512
34,1512
35,1512
36,1512
37,1512
38,1512
39,1512
40,1512
41,1512
42,1512
43,1512
44,1512
45,1512
46,1512
47,1512
48,1512
49,1512
50,1512
51,1512
52,1512
53,1512
54,1512
55,1512
56,1512
57,1512
58,1512
59,1512
60,1512
61,1512
62,1512
63,1512
64,1512
65,1512
66,1512
67,1512
68,1512
69,1512
70,1512
71,1512
72,1512
73,1512
74,1512
75,1512
76,1512
77,1512
78,1512
79,1512
80,1512
81,1512
82,1512
83,1512
84,1512
85,1512
86,1512
87,1512
88,1512
89,1512
90,1512
91,1512
92,1512
93,1512
94,1512
95,1512
96,1512
97,1512
98,1512
99,1512
100,1512
101,1512
102,1512
103,1512
104,1512
105,1512
106,1512
107,1512
108,1512
109,1512
110,1512
111,1512
112,1512
113,1512
114,1512
115,1512
116,1512
117,1512
118,1512
119,1512
120,1512
121,1512
122,1512
123,1512
124,1512
125,1512
126,1512
127,1512
128,1512
129,1512
130,1512
131,1512
132,1512
133,1512
134,1512
135,1512
136,1512
137,1512
138,1512
139,1512
140,1512
141,1512
142,1512
143,1512
144,1512
145,1512
146,1512
147,1512
148,1512
149,1512
150,1512
151,1512
152,1512
153,1512
154,1512
155,1512
156,1512
157,1512
158,1512
159,1512
160,1512
161,1512
162,1512
163,1512
164,1512
165,1512
166,1512
167,1512
168,1512
169,1512
170,1512
171,1512
172,1512
173,1512
174,1512
175,1512
176,1512
177,1512
178,1512
179,1512
180,1512
181,1512
182,1512
183,1512
184,1512
185,1512
186,1512
187,1512
188,1512
189,1512
190,1512
191,1512
192,1512
193,1512
194,1512
195,1512
196,1512
197,1512
198,1512
199,1512
200,1512
201,1512
202,1512
203,1512
204,1512
205,1512
