Time,com.sun.xml.bind.v2.runtime.unmarshaller.LeafPropertyLoader Data
0,12178
1,1229
2,195
3,25565
4,1229
5,25565
6,1229
7,25565
8,1229
9,25565
10,1229
11,25565
12,1229
13,195
14,25565
15,1229
16,25565
17,1229
18,25565
19,1229
20,195
21,25565
22,1229
23,25565
24,1229
25,195
26,25565
27,1229
28,195
29,25565
30,1229
31,195
32,25565
33,1229
34,25565
35,1229
36,25565
37,1229
38,195
39,25565
40,1229
41,25565
42,1229
43,25565
44,1229
45,195
46,25565
47,1229
48,25565
49,1229
50,195
51,25565
52,1229
53,25565
54,1229
55,25565
56,1229
57,25565
58,1229
59,25565
60,1229
61,25565
62,1229
63,25565
64,1229
65,195
66,25565
67,1229
68,195
69,25565
70,1229
71,195
72,25565
73,1229
74,195
75,25565
76,1229
77,25565
78,1229
79,195
80,25565
81,1229
82,195
83,25565
84,1229
85,25565
86,1229
87,25565
88,1229
89,25565
90,1229
91,25565
92,1229
93,195
94,25565
95,1229
96,195
97,25565
98,1229
99,25565
100,1229
101,25565
102,1229
103,195
104,25565
105,1229
106,195
107,25565
108,1229
109,195
110,25565
111,1229
112,195
113,25565
114,1229
115,25565
116,1229
117,195
118,25565
119,1229
120,25565
121,1229
122,25565
123,1229
124,195
125,25565
126,1229
127,25565
128,1229
129,195
130,25565
131,1229
132,25565
133,1229
134,195
135,25565
136,1229
137,25565
138,1229
139,25565
140,1229
141,195
142,25565
143,1229
144,195
145,25565
146,1229
147,195
148,25565
149,1229
150,25565
151,1229
152,195
153,25565
154,1229
155,25565
156,1229
157,25565
158,1229
159,25565
160,1229
161,25565
162,1229
163,195
164,25565
165,1229
166,195
167,25565
168,1229
169,25565
170,1229
171,195
172,25565
173,1229
174,195
175,25565
176,1229
177,25565
178,1229
179,25565
180,1229
181,25565
182,1229
183,195
184,25565
185,1229
186,195
187,25565
188,1229
189,25565
190,1229
191,25565
192,1229
193,25565
194,1229
195,25565
196,1229
197,195
198,25565
199,1229
200,195
201,25565
202,1229
203,195
204,25565
205,1229
206,25565
207,1229
208,25565
209,1229
210,25565
211,1229
212,195
213,25565
214,1229
215,25565
216,1229
217,195
218,25565
219,1229
220,25565
221,1229
222,25565
223,1229
224,195
225,25565
226,1229
227,195
228,25565
229,1229
230,195
231,25565
232,1229
233,195
234,25565
235,1229
236,195
237,25565
238,1229
239,25565
240,1229
241,25565
242,1229
243,25565
244,1229
245,25565
246,1229
247,25565
248,1229
249,195
250,25565
251,1229
252,25565
253,1229
254,25565
255,1229
256,195
257,25565
258,1229
259,195
260,25565
261,1229
262,195
263,25565
264,1229
265,25565
266,1229
267,195
268,25565
269,1229
270,195
271,25565
272,1229
273,25565
274,1229
275,25565
276,1229
277,195
278,25565
279,1229
280,25565
281,1229
282,25565
283,1229
284,195
285,25565
286,1229
287,25565
288,1229
289,25565
290,1229
291,25565
292,1229
293,25565
294,1229
295,195
296,25565
297,1229
298,25565
299,1229
300,25565
301,1229
302,25565
303,1229
304,25565
305,1229
306,25565
307,1229
308,25565
309,1229
310,25565
311,1229
312,195
313,25565
314,1229
315,25565
316,1229
317,195
318,25565
319,1229
320,25565
321,1229
322,25565
323,1229
324,25565
325,1229
326,25565
327,1229
328,195
329,25565
330,1229
331,25565
332,1229
333,195
334,25565
335,1229
336,25565
337,1229
338,25565
339,1229
340,25565
341,1229
342,25565
343,1229
344,195
345,25565
346,1229
347,25565
348,1229
349,25565
350,1229
351,25565
352,1229
353,25565
354,1229
355,195
356,25565
357,1229
358,25565
359,1229
360,25565
361,1229
362,25565
363,1229
364,25565
365,1229
366,25565
367,1229
368,25565
369,1229
370,25565
371,1229
372,25565
373,1229
374,195
375,25565
376,1229
377,25565
378,1229
379,195
380,25565
381,1229
382,25565
383,1229
384,25565
385,1229
386,25565
387,1229
388,25565
389,1229
390,195
391,25565
392,1229
393,195
394,25565
395,1229
396,25565
397,1229
398,25565
399,1229
400,25565
401,1229
402,195
403,25565
404,1229
405,25565
406,1229
407,195
408,25565
409,1229
410,195
411,25565
412,1229
413,25565
414,1229
415,25565
416,1229
417,25565
418,1229
419,25565
420,1229
421,25565
422,1229
423,195
424,25565
425,1229
426,25565
427,1229
428,195
429,25565
430,1229
431,25565
432,1229
433,25565
434,1229
435,195
436,25565
437,1229
438,195
439,25565
440,1229
441,25565
442,1229
443,25565
444,1229
445,25565
446,1229
447,25565
448,1229
449,25565
450,1229
451,25565
452,1229
453,25565
454,1229
455,25565
456,1229
457,25565
458,1229
459,25565
460,1229
461,25565
462,1229
463,25565
464,1229
465,25565
466,1229
467,25565
468,1229
469,25565
470,1229
471,25565
472,1229
473,195
474,25565
475,1229
476,195
477,25565
478,1229
479,195
480,25565
481,1229
482,195
483,25565
484,1229
485,195
486,25565
487,1229
