Time,com.sun.xml.bind.v2.runtime.unmarshaller.TextLoader Data
0,491
1,180
2,942
3,942
4,942
5,942
6,942
7,180
8,942
9,942
10,942
11,180
12,90
13,942
14,942
15,180
16,942
17,942
18,180
19,942
20,942
21,942
22,180
23,942
24,942
25,942
26,180
27,942
28,942
29,180
30,942
31,942
32,942
33,942
34,942
35,942
36,942
37,180
38,90
39,942
40,180
41,942
42,180
43,942
44,180
45,942
46,942
47,180
48,942
49,180
50,942
51,942
52,942
53,942
54,942
55,180
56,942
57,180
58,942
59,942
60,942
61,180
62,942
63,180
64,942
65,180
66,942
67,180
68,90
69,942
70,942
71,180
72,942
73,942
74,942
75,180
76,90
77,942
78,942
79,180
80,942
81,942
82,180
83,942
84,942
85,942
86,942
87,180
88,90
89,942
90,180
91,942
92,942
93,180
94,942
95,942
96,942
97,942
98,942
99,180
100,942
101,180
102,942
103,942
104,180
105,942
106,180
107,942
108,942
109,942
110,942
111,180
112,942
113,942
114,942
115,942
116,942
117,942
118,180
119,942
120,180
121,942
122,180
123,942
124,942
125,942
126,942
127,942
128,942
129,180
130,942
131,942
132,942
133,180
134,942
135,180
136,942
137,942
138,180
139,942
140,180
141,942
142,942
143,942
144,942
145,942
146,942
147,180
148,942
149,942
150,942
151,942
152,180
153,942
154,180
155,942
156,942
157,942
158,180
159,942
160,942
161,942
162,180
163,942
164,942
165,942
166,180
167,942
168,942
169,942
170,942
171,942
172,180
173,942
174,942
175,942
176,942
177,942
178,942
179,942
180,942
181,180
182,942
183,942
184,180
185,942
186,942
187,942
188,942
189,942
190,942
191,942
192,180
193,942
194,942
195,942
196,942
197,942
198,180
199,942
200,942
201,942
202,942
203,942
204,180
205,942
206,942
207,942
208,942
209,942
210,942
211,942
212,942
213,942
214,942
215,942
216,180
217,942
218,942
219,942
220,942
221,942
222,180
223,942
224,942
225,942
226,942
227,942
228,180
229,942
230,942
231,180
232,942
233,180
234,942
235,942
236,942
237,942
238,942
239,942
240,180
241,942
242,942
243,942
244,942
245,942
246,180
247,942
248,180
249,942
250,942
251,942
252,942
253,942
254,942
255,942
256,942
257,942
258,942
259,942
260,942
261,942
262,942
263,942
264,942
265,942
266,942
267,942
268,180
269,942
270,180
271,942
272,180
273,942
