Time,com.sun.xml.ws.model.CheckedExceptionImpl Data
0,1660
1,167
2,3486
3,167
4,3486
5,167
6,3486
7,167
8,3486
9,167
10,3486
11,167
12,3486
13,167
14,3486
15,167
16,3486
17,167
18,3486
19,167
20,3486
21,167
22,3486
23,167
24,3486
25,167
26,3486
27,167
28,3486
29,167
30,3486
31,167
32,3486
33,167
34,3486
35,167
36,3486
37,167
38,3486
39,167
40,3486
41,167
42,3486
43,167
44,3486
45,167
46,3486
47,167
48,3486
49,167
50,3486
51,167
52,3486
53,167
54,3486
55,167
56,3486
57,167
58,3486
59,167
60,3486
61,167
62,3486
63,167
64,3486
65,167
66,3486
67,167
68,3486
69,167
70,3486
71,167
72,3486
73,167
74,3486
75,167
76,3486
77,167
78,3486
79,167
80,3486
81,167
82,3486
83,167
84,3486
85,167
86,3486
87,167
88,3486
89,167
90,3486
91,167
92,3486
93,167
94,3486
95,167
96,3486
97,167
98,3486
99,167
100,3486
101,167
102,3486
103,167
104,3486
105,167
106,3486
107,167
108,3486
109,167
110,3486
111,167
112,3486
113,167
114,3486
115,167
116,3486
117,167
118,3486
119,167
120,3486
121,167
122,3486
123,167
124,3486
125,167
126,3486
127,167
128,3486
129,167
130,3486
131,167
132,3486
133,167
134,3486
135,167
136,3486
137,167
138,3486
139,167
140,3486
141,167
142,3486
143,167
144,3486
145,167
146,3486
147,167
148,3486
149,167
150,3486
151,167
152,3486
153,167
154,3486
155,167
156,3486
157,167
158,3486
159,167
160,3486
161,167
162,3486
163,167
164,3486
165,167
166,3486
167,167
168,3486
169,167
170,3486
171,167
172,3486
173,167
174,3486
175,167
176,3486
177,167
178,3486
179,167
180,3486
181,167
182,3486
183,167
184,3486
185,167
186,3486
187,167
188,3486
189,167
190,3486
191,167
192,3486
193,3486
194,3486
195,167
196,3486
197,167
198,3486
199,167
200,3486
201,167
202,3486
203,3486
204,167
205,3486
206,167
207,3486
208,167
209,3486
210,167
211,3486
212,167
213,3486
214,167
215,3486
216,167
217,3486
218,167
219,3486
220,167
221,3486
222,167
223,3486
224,167
225,3486
226,167
227,3486
228,167
229,3486
230,3486
231,167
232,3486
233,3486
234,167
235,3486
236,167
237,3486
238,3486
239,167
240,3486
241,167
242,3486
243,3486
244,167
245,3486
246,3486
247,167
248,3486
249,167
250,3486
251,167
252,3486
253,167
254,3486
255,3486
256,3486
257,167
258,3486
259,3486
260,167
261,3486
262,167
263,3486
264,167
265,3486
266,167
267,3486
268,3486
269,167
270,3486
271,3486
272,167
273,3486
274,167
275,3486
276,3486
277,167
278,3486
279,3486
280,167
281,3486
282,167
283,3486
284,3486
285,167
286,3486
287,167
288,3486
289,3486
290,167
291,3486
292,167
293,3486
294,3486
295,167
296,3486
297,167
298,3486
299,167
300,3486
301,167
302,3486
303,167
304,3486
305,167
306,3486
307,3486
308,167
309,3486
310,167
311,3486
312,167
313,3486
314,167
315,3486
316,3486
317,167
318,3486
319,167
320,3486
321,167
322,3486
323,167
324,3486
325,167
326,3486
327,167
328,3486
329,167
330,3486
331,3486
332,3486
333,167
334,3486
335,167
336,3486
337,167
338,3486
339,167
340,3486
341,167
342,3486
343,167
344,3486
345,167
346,3486
347,167
348,3486
349,167
350,3486
351,167
352,3486
353,167
354,3486
355,167
356,3486
357,167
358,3486
359,3486
360,167
361,3486
362,167
363,3486
364,3486
365,167
366,3486
367,167
368,3486
369,167
370,3486
371,167
372,3486
373,167
374,3486
375,167
376,3486
377,167
378,3486
379,167
380,3486
381,167
382,3486
383,167
384,3486
385,167
386,3486
