Time,com.sun.xml.ws.model.ParameterImpl Data
0,4610
1,462
2,9681
3,462
4,9681
5,462
6,9681
7,462
8,9681
9,462
10,9681
11,462
12,9681
13,462
14,9681
15,462
16,9681
17,462
18,56
19,9681
20,462
21,9681
22,462
23,9681
24,462
25,9681
26,462
27,9681
28,462
29,9681
30,462
31,9681
32,462
33,9681
34,462
35,9681
36,462
37,9681
38,462
39,56
40,9681
41,462
42,9681
43,462
44,56
45,9681
46,462
47,9681
48,462
49,9681
50,462
51,9681
52,462
53,9681
54,462
55,9681
56,462
57,9681
58,462
59,56
60,9681
61,462
62,9681
63,462
64,56
65,9681
66,462
67,9681
68,462
69,9681
70,462
71,9681
72,462
73,9681
74,462
75,9681
76,462
77,9681
78,462
79,9681
80,462
81,9681
82,462
83,9681
84,462
85,56
86,9681
87,462
88,9681
89,462
90,9681
91,462
92,9681
93,462
94,9681
95,462
96,9681
97,462
98,56
99,9681
100,462
101,9681
102,462
103,9681
104,462
105,9681
106,462
107,9681
108,462
109,56
110,9681
111,462
112,9681
113,462
114,9681
115,462
116,9681
117,462
118,9681
119,462
120,9681
121,462
122,9681
123,462
124,9681
125,462
126,56
127,9681
128,462
129,56
130,9681
131,462
132,9681
133,462
134,9681
135,462
136,9681
137,462
138,9681
139,462
140,9681
141,462
142,9681
143,462
144,56
145,9681
146,462
147,56
148,9681
149,462
150,9681
151,462
152,9681
153,462
154,9681
155,462
156,9681
157,462
158,9681
159,462
160,9681
161,462
162,9681
163,462
164,9681
165,462
166,9681
167,462
168,9681
169,462
170,9681
171,462
172,9681
173,462
174,56
175,9681
176,462
177,9681
178,462
179,9681
180,462
181,9681
182,462
183,9681
184,462
185,9681
186,462
187,9681
188,462
189,9681
190,462
191,9681
192,462
193,9681
194,462
195,9681
196,462
197,9681
198,462
199,9681
200,462
201,9681
202,462
203,9681
204,462
205,56
206,9681
207,462
208,9681
209,462
210,9681
211,462
212,9681
213,462
214,9681
215,462
216,9681
217,462
218,56
219,9681
220,462
221,9681
222,462
223,9681
224,462
225,9681
226,462
227,9681
228,462
229,56
230,9681
231,462
232,9681
233,462
234,9681
235,462
236,9681
237,462
238,9681
239,462
240,9681
241,462
242,9681
243,462
244,9681
245,462
246,9681
247,462
248,9681
249,462
250,9681
251,462
252,9681
253,462
254,9681
255,462
256,9681
257,462
258,9681
259,462
260,9681
261,462
262,9681
263,462
264,9681
265,462
266,9681
267,462
268,9681
269,462
270,9681
271,462
272,9681
273,462
274,9681
275,462
276,9681
277,462
278,9681
279,462
280,9681
281,462
282,9681
283,462
284,9681
285,462
286,9681
287,462
288,9681
289,462
290,9681
291,462
292,9681
293,462
294,9681
295,462
296,9681
297,462
298,9681
299,462
300,9681
301,462
302,9681
303,462
304,9681
305,462
306,9681
307,462
308,9681
309,462
310,9681
311,462
312,9681
313,462
314,9681
315,462
316,9681
317,462
318,9681
319,462
320,9681
321,462
322,9681
323,462
324,9681
325,462
326,9681
327,462
328,9681
329,462
330,9681
331,462
332,9681
333,462
334,56
335,9681
336,462
337,9681
338,462
339,9681
340,462
341,9681
342,462
343,9681
344,462
345,56
346,9681
347,462
348,9681
349,462
350,9681
351,462
352,9681
353,462
354,9681
355,462
356,9681
357,462
358,9681
359,462
360,56
361,9681
362,462
363,9681
364,462
365,9681
366,462
367,9681
368,462
369,9681
370,462
371,9681
372,462
373,9681
374,462
375,9681
376,462
377,9681
378,462
379,9681
380,462
381,9681
382,462
383,9681
384,462
385,56
386,9681
387,462
388,9681
389,462
390,9681
391,462
392,9681
393,462
394,9681
395,462
396,9681
397,462
398,9681
399,462
400,9681
401,462
402,9681
403,462
404,9681
405,462
406,9681
407,462
408,9681
409,462
410,9681
411,462
412,9681
413,462
414,9681
415,462
416,9681
417,462
418,9681
419,462
420,9681
421,462
422,9681
423,462
424,9681
425,462
426,9681
427,462
428,9681
429,462
430,9681
431,462
