Time,com.sun.xml.ws.policy.jaxws.xmlstreamwriter.documentfilter.XmlFilteringUtils$AttributeInfo Data
0,2899
1,2899
2,2899
3,2899
4,2899
5,2899
6,2899
7,2899
8,2899
9,2899
10,2899
11,2899
12,2146
13,2899
14,2899
15,2899
16,2899
17,2899
18,5798
19,2899
20,2899
21,2899
22,2899
23,2899
24,2899
25,2899
26,2899
27,2899
28,2899
29,2899
30,2899
31,2899
32,2899
33,5798
34,2899
35,2899
36,2899
37,2899
38,5798
39,2899
40,2899
41,2899
42,2899
43,2899
44,2899
45,2899
46,5798
47,2899
48,2899
49,2899
50,2899
51,2899
52,2899
53,2899
54,5064
55,2899
56,2899
57,2899
58,2899
59,2899
60,2899
61,2899
62,2899
63,2899
64,2899
65,5798
66,2899
67,2899
68,2899
69,2899
70,5798
71,2899
72,2899
73,2899
74,2899
75,2899
76,2899
77,2899
78,2899
79,2899
80,2899
81,2899
82,2899
83,2899
84,2899
85,5798
86,2899
87,5798
88,2899
89,2899
90,5798
91,2899
92,5798
93,2899
94,2899
95,2899
96,2899
97,5798
98,5798
99,2899
100,5798
101,5798
102,2899
103,2899
104,5798
105,2899
106,2899
107,5798
108,5798
109,2899
110,5798
111,2899
112,5798
113,2899
114,2899
115,5798
116,2899
117,2899
118,5798
119,2899
120,2899
121,2899
122,2899
123,5798
124,8697
125,2899
126,5798
127,2899
128,5798
129,2899
130,2899
131,2899
132,2899
133,5798
134,5798
135,5798
136,2899
137,2899
138,2899
139,2899
140,2899
141,2899
142,2899
143,2899
144,5798
145,2899
146,5798
147,2899
148,2899
149,5798
150,5798
151,2899
152,2899
153,2899
154,2899
155,2899
156,2899
157,2899
158,2899
159,2899
160,2899
161,5798
