Time,com.sun.xml.ws.util.QNameMap$1 Data
0,1590
1,3339
2,3339
3,3339
4,3339
5,3339
6,3339
7,3339
8,3339
9,161
10,3339
11,3339
12,3339
13,3339
14,3339
15,3339
16,3339
17,3339
18,3339
19,3339
20,161
21,3339
22,3339
23,161
24,3339
25,3339
26,3339
27,3339
28,3339
29,3339
30,3339
31,161
32,3339
33,3339
34,161
35,3339
36,3339
37,3339
38,3339
39,3339
40,3339
41,3339
42,3339
43,3339
44,3339
45,161
46,3339
47,3339
48,3339
49,3339
50,3339
51,3339
52,161
53,3339
54,3339
55,3339
56,3339
57,3339
58,161
59,3339
60,3339
61,3339
62,3339
63,3339
64,3339
65,3339
66,3339
67,161
68,3339
69,161
70,3339
71,3339
72,3339
73,3339
74,3339
75,3339
76,3339
77,161
78,3339
79,161
80,3339
81,3339
82,3339
83,3339
84,3339
85,3339
86,3339
87,3339
88,3339
89,3339
90,3339
91,3339
92,3339
93,161
94,3339
95,3339
96,3339
97,3339
98,3339
99,3339
100,3339
101,3339
102,3339
103,3339
104,3339
105,3339
106,3339
107,3339
108,3339
109,161
110,3339
111,3339
112,3339
113,3339
114,3339
115,3339
116,161
117,3339
118,3339
119,3339
120,3339
121,3339
122,161
123,3339
124,3339
125,3339
126,3339
127,3339
128,3339
129,3339
130,3339
131,3339
132,3339
133,3339
134,3339
135,3339
136,3339
137,3339
138,3339
139,3339
140,3339
141,3339
142,3339
143,3339
144,3339
145,3339
146,3339
147,3339
148,3339
149,3339
150,3339
151,3339
152,3339
153,3339
154,3339
155,3339
156,3339
157,3339
158,3339
159,3339
160,3339
161,3339
162,3339
163,3339
164,3339
165,3339
166,3339
167,3339
168,3339
169,3339
170,3339
171,3339
172,3339
173,3339
174,3339
175,161
176,3339
177,3339
178,3339
179,3339
180,3339
181,161
182,3339
183,3339
184,3339
185,3339
186,3339
187,3339
188,3339
189,161
190,3339
191,3339
192,3339
193,3339
194,3339
195,3339
196,3339
197,3339
198,3339
199,3339
200,3339
201,3339
202,161
203,3339
204,3339
205,3339
206,3339
207,3339
208,3339
209,3339
210,3339
211,3339
212,3339
213,3339
214,3339
215,3339
216,3339
217,3339
218,3339
219,3339
220,3339
221,3339
222,3339
223,3339
224,3339
225,3339
