Time,com.sun.xml.ws.util.QNameMap$Entry Data
0,3140
1,628
2,6594
3,628
4,6594
5,628
6,6594
7,628
8,6594
9,628
10,6594
11,628
12,6594
13,628
14,6594
15,628
16,6594
17,628
18,72
19,6594
20,628
21,6594
22,628
23,6594
24,628
25,6594
26,628
27,6594
28,628
29,6594
30,628
31,6594
32,628
33,6594
34,628
35,6594
36,628
37,6594
38,628
39,6594
40,628
41,6594
42,628
43,72
44,6594
45,628
46,6594
47,628
48,6594
49,628
50,6594
51,628
52,6594
53,628
54,6594
55,628
56,6594
57,628
58,72
59,6594
60,628
61,6594
62,628
63,6594
64,628
65,6594
66,628
67,6594
68,628
69,6594
70,628
71,6594
72,628
73,6594
74,628
75,6594
76,628
77,6594
78,628
79,6594
80,628
81,6594
82,628
83,6594
84,628
85,6594
86,628
87,6594
88,628
89,6594
90,628
91,6594
92,628
93,6594
94,628
95,72
96,6594
97,628
98,6594
99,628
100,6594
101,628
102,6594
103,628
104,6594
105,628
106,72
107,6594
108,628
109,6594
110,628
111,6594
112,628
113,6594
114,628
115,6594
116,628
117,6594
118,628
119,6594
120,628
121,6594
122,628
123,72
124,6594
125,628
126,6594
127,628
128,6594
129,628
130,6594
131,628
132,6594
133,628
134,6594
135,628
136,6594
137,628
138,6594
139,628
140,72
141,6594
142,628
143,6594
144,628
145,6594
146,628
147,6594
148,628
149,6594
150,628
151,6594
152,628
153,6594
154,628
155,6594
156,628
157,6594
158,628
159,6594
160,628
161,6594
162,628
163,6594
164,628
165,6594
166,628
167,6594
168,628
169,6594
170,628
171,6594
172,628
173,6594
174,628
175,6594
176,628
177,6594
178,628
179,6594
180,628
181,6594
182,628
183,6594
184,628
185,6594
186,628
187,6594
188,628
189,6594
190,628
191,6594
192,628
193,6594
194,628
195,6594
196,628
197,6594
198,628
199,6594
200,628
201,6594
202,628
203,6594
204,628
205,6594
206,628
207,6594
208,628
209,6594
210,628
211,72
212,6594
213,628
214,6594
215,628
216,6594
217,628
218,6594
219,628
220,6594
221,628
222,72
223,6594
224,628
225,6594
226,628
227,6594
228,628
229,6594
230,628
231,6594
232,628
233,6594
234,628
235,6594
236,628
237,6594
238,628
239,6594
240,628
241,6594
242,628
243,6594
244,628
245,6594
246,628
247,6594
248,628
249,6594
250,628
251,6594
252,628
253,6594
254,628
255,6594
256,628
257,6594
258,628
259,6594
260,628
261,6594
262,628
263,6594
264,628
265,6594
266,628
267,6594
268,628
269,6594
270,628
271,6594
272,628
273,6594
274,628
275,6594
276,628
277,6594
278,628
279,6594
280,628
281,6594
282,628
283,6594
284,628
285,6594
286,628
287,6594
288,628
289,6594
290,628
291,6594
292,628
293,6594
294,628
295,6594
296,628
297,6594
298,628
299,6594
300,628
301,6594
302,628
303,6594
304,628
305,6594
306,628
307,6594
308,628
309,6594
310,628
311,6594
312,628
313,6594
314,628
315,6594
316,628
317,6594
318,628
319,6594
320,628
321,6594
322,628
323,6594
324,628
325,6594
326,628
327,72
328,6594
329,628
330,6594
331,628
332,6594
333,628
334,6594
335,628
336,6594
337,628
338,6594
339,628
340,6594
341,628
342,6594
343,628
344,6594
345,628
346,6594
347,628
348,6594
349,628
350,6594
351,628
352,72
353,6594
354,628
355,6594
356,628
357,6594
358,628
359,6594
360,628
361,6594
362,628
363,6594
364,628
365,6594
366,628
367,6594
368,628
369,6594
370,628
371,6594
372,628
373,6594
374,628
375,6594
376,628
377,6594
378,628
379,6594
380,628
381,6594
382,628
383,6594
384,628
385,6594
386,628
387,6594
388,628
389,6594
390,628
391,6594
392,628
393,6594
394,628
395,6594
396,628
397,6594
398,628
399,6594
400,628
401,6594
402,628
403,6594
404,628
405,6594
406,628
407,6594
408,628
409,6594
410,628
411,6594
412,628
413,6594
414,628
415,6594
416,628
417,6594
418,628
419,6594
420,628
421,6594
422,628
