Time,java.beans.MethodRef Data
0,8517
1,8517
2,8517
3,8517
4,8517
5,8517
6,8517
7,8517
8,8517
9,8517
10,8517
11,8517
12,8517
13,8517
14,8517
15,8517
16,8517
17,8517
18,8517
19,8517
20,8517
21,8517
22,8517
23,8517
24,8517
25,8517
26,8517
27,8517
28,8517
29,8517
30,8517
31,8517
32,8517
33,8517
34,8517
35,8517
36,8517
37,8517
38,8517
39,8517
40,8517
41,8517
42,8517
43,8517
44,8517
45,8517
46,8517
47,8517
48,8517
49,8517
50,8517
51,8517
52,8517
53,8517
54,8517
55,8517
56,8517
57,8517
58,8517
59,8517
60,8517
61,8517
62,8517
63,8517
64,8517
65,8517
66,8517
67,8517
68,8517
69,8517
70,8517
71,8517
72,8517
73,8517
74,8517
75,8517
76,8517
77,8517
78,8517
79,8517
80,8517
81,8517
82,8517
83,8517
84,8517
85,8517
86,8517
87,8517
88,8517
89,8517
90,8517
91,8517
92,8517
93,8517
94,8517
95,8517
96,8517
97,8517
98,8517
99,8517
100,8517
101,8517
102,8517
103,8517
104,8517
105,8517
106,8517
107,8517
108,8517
109,8517
110,8517
111,8517
112,8517
113,8517
114,8517
115,8517
116,8517
117,8517
118,8517
119,8517
120,8517
121,8517
122,8517
123,8517
124,8517
125,8517
126,8517
127,8517
128,8517
129,8517
130,8517
131,8517
132,8517
133,8517
134,8517
135,8517
136,8517
137,8517
138,8517
139,8517
140,8517
141,8517
142,8517
143,8517
144,8517
145,8517
146,8517
147,8517
148,8517
149,8517
150,8517
151,8517
152,8517
153,8517
154,8517
155,8517
156,8517
157,8517
158,8517
159,8517
160,8517
161,8517
162,8517
163,8517
164,8517
165,8517
166,8517
167,8517
168,8517
169,8517
170,8517
171,8517
172,8517
173,8517
174,8517
175,8517
176,8517
177,8517
178,8517
179,8517
180,8517
181,8517
182,8517
183,8517
184,8517
185,8517
186,8517
187,8517
188,8517
189,8517
190,8517
191,8517
192,8517
193,8517
194,8517
195,8517
196,8517
197,8517
198,8517
199,8517
200,8517
201,8517
202,8517
203,8517
204,8517
205,8517
