Time,java.beans.PropertyChangeSupport$PropertyChangeListenerMap Data
0,539
1,539
2,539
3,539
4,539
5,539
6,539
7,539
8,539
9,539
10,539
11,539
12,539
13,539
14,539
15,539
16,539
17,539
18,539
19,539
20,539
21,539
22,539
23,539
24,539
25,539
26,539
27,539
28,539
29,539
30,539
31,539
32,539
33,539
34,539
35,539
36,539
37,539
38,539
39,539
40,539
41,539
42,539
43,539
44,539
45,539
46,539
47,539
48,539
49,539
50,539
51,539
52,539
53,539
54,539
55,539
56,539
57,539
58,539
59,539
60,539
61,539
62,539
63,539
64,539
65,539
66,539
67,539
68,539
69,539
70,539
71,539
72,539
73,539
74,539
75,539
76,539
77,539
78,539
79,539
80,539
81,539
82,539
83,539
84,539
85,539
86,539
87,539
88,539
89,539
90,539
91,539
92,539
93,539
94,539
95,539
96,539
97,539
98,539
99,539
100,539
101,539
102,539
103,539
104,539
105,539
106,539
107,539
108,539
109,539
110,539
111,539
112,539
113,539
114,539
115,539
116,539
117,539
118,539
119,539
120,539
121,539
122,539
123,539
124,539
125,539
126,539
127,539
128,539
129,539
130,539
131,539
132,539
133,539
134,539
135,539
136,539
137,539
138,539
139,539
140,539
141,539
142,539
143,539
144,539
145,539
146,539
147,539
148,539
149,539
150,539
151,539
152,539
153,539
154,539
155,539
156,539
157,539
158,539
159,539
160,539
161,539
162,539
163,539
164,539
165,539
166,539
167,539
168,539
169,539
170,539
171,539
172,539
173,539
174,539
175,539
176,539
177,539
178,539
179,539
180,539
181,539
182,539
183,539
184,539
185,539
186,539
187,539
188,539
189,539
190,539
191,539
192,539
193,539
194,539
195,539
196,539
197,539
198,539
199,539
200,539
201,539
202,539
203,539
204,539
205,539
