Time,java.io.BufferedOutputStream Data
0,244
1,421
2,390
3,395
4,405
5,248
6,449
7,426
8,314
9,258
10,331
11,261
12,341
13,349
14,292
15,350
16,345
17,146
18,298
19,303
20,338
21,330
22,340
23,480
24,440
25,130
26,244
27,164
28,178
29,391
30,169
31,273
32,452
33,449
34,438
35,492
36,349
37,243
38,586
39,336
40,365
41,281
42,192
43,293
44,571
45,340
46,591
47,421
48,222
49,457
50,397
51,454
52,379
53,602
54,267
55,283
56,205
57,149
58,444
59,272
60,327
61,389
62,293
63,337
64,228
65,221
66,437
67,407
68,318
69,466
70,653
71,554
72,243
73,424
74,442
75,477
76,623
77,633
78,266
79,388
80,361
81,433
82,460
83,444
84,231
85,490
86,393
87,404
88,413
89,386
90,387
91,372
92,347
93,227
94,696
95,680
96,264
97,331
98,390
99,213
100,524
101,514
102,317
103,284
104,222
105,348
106,315
107,273
108,269
109,315
110,275
111,399
112,402
113,252
114,566
115,376
116,689
117,550
118,303
119,665
120,434
121,479
122,622
123,552
124,734
125,524
126,437
127,512
128,341
129,592
130,746
131,532
132,466
133,363
134,537
135,362
136,493
137,641
138,404
139,637
140,268
141,484
142,616
143,401
144,558
145,379
146,546
147,751
148,499
149,548
150,747
151,487
152,520
153,737
154,448
155,423
156,281
157,450
158,490
159,615
160,781
161,291
162,461
163,592
164,672
165,744
166,364
167,486
168,279
169,432
170,626
171,526
172,670
173,780
174,754
175,409
176,444
177,471
178,500
179,616
180,311
181,441
182,478
183,409
184,518
185,571
186,501
187,660
188,681
189,576
190,692
191,802
192,388
193,411
194,444
195,401
196,401
197,505
198,397
199,373
200,331
201,348
202,346
203,710
