Time,java.io.ByteArrayOutputStream Data
0,558
1,208
2,526
3,522
4,615
5,566
6,555
7,443
8,269
9,549
10,577
11,207
12,568
13,549
14,482
15,282
16,561
17,324
18,558
19,754
20,628
21,145
22,144
23,656
24,189
25,618
26,611
27,597
28,492
29,753
30,294
31,210
32,178
33,180
34,744
35,767
36,551
37,624
38,445
39,541
40,157
41,752
42,608
43,257
44,616
45,211
46,290
47,651
48,487
49,533
50,630
51,521
52,700
53,659
54,161
55,485
56,304
57,619
58,1006
59,748
60,437
61,290
62,572
63,316
64,496
65,561
66,283
67,556
68,575
69,249
70,239
71,243
72,366
73,1098
74,1054
75,575
76,557
77,508
78,847
79,757
80,265
81,192
82,574
83,484
84,177
85,597
86,273
87,203
88,674
89,538
90,173
91,961
92,276
93,1132
94,724
95,836
96,1062
97,290
98,1111
99,682
100,1156
101,625
102,439
103,584
104,796
105,1189
106,619
107,1128
108,192
109,811
110,450
111,927
112,1103
113,545
114,1082
115,734
116,1260
117,301
118,1143
119,475
120,645
121,1184
122,550
123,656
124,1184
125,550
126,605
127,1151
128,456
129,537
130,495
131,548
132,809
133,1291
134,484
135,755
136,702
137,1105
138,156
139,447
140,464
141,671
142,629
143,1043
144,1267
145,1189
146,158
147,469
148,257
149,581
150,736
151,237
152,531
153,332
154,595
155,738
156,579
157,758
158,1065
159,705
160,1071
161,1124
162,298
163,557
164,606
165,312
166,532
167,588
168,265
169,485
170,191
171,181
172,1255
