Time,java.io.ObjectStreamClass$WeakClassKey Data
0,482
1,476
2,480
3,480
4,480
5,75
6,476
7,476
8,476
9,480
10,476
11,476
12,480
13,476
14,476
15,75
16,476
17,480
18,476
19,480
20,480
21,476
22,75
23,371
24,480
25,476
26,480
27,480
28,480
29,480
30,75
31,881
32,476
33,476
34,319
35,75
36,881
37,881
38,480
39,75
40,480
41,476
42,476
43,480
44,480
45,476
46,75
47,480
48,476
49,476
50,480
51,476
52,476
53,75
54,480
55,476
56,476
57,881
58,480
59,476
60,480
61,476
62,480
63,881
64,480
65,75
66,476
67,476
68,480
69,476
70,480
71,480
72,476
73,476
74,480
75,476
76,476
77,476
78,75
79,881
80,885
81,480
82,480
83,480
84,75
85,881
86,881
87,476
88,180
89,75
90,476
91,476
92,476
93,480
94,476
95,476
96,480
97,476
98,881
99,476
100,885
101,881
102,881
103,885
104,476
105,885
106,480
107,881
108,480
109,476
110,480
111,881
112,881
113,480
114,885
115,881
116,476
117,759
118,885
119,480
120,885
121,480
122,885
123,476
124,885
125,480
126,480
127,885
128,480
129,480
130,885
131,480
132,480
133,885
134,480
135,476
136,75
137,480
138,476
139,881
140,990
141,75
142,476
143,881
144,480
145,885
146,476
147,75
148,476
149,881
150,480
151,881
152,1286
153,885
154,476
155,480
156,476
157,480
158,881
159,476
160,480
161,476
162,480
163,881
164,476
165,881
166,881
167,480
168,881
169,885
170,476
171,480
172,480
173,476
174,480
175,480
176,476
177,480
178,197
179,476
180,885
