Time,java.io.StringReader Data
0,510
1,639
2,663
3,736
4,791
5,805
6,897
7,947
8,734
9,825
10,868
11,919
12,948
13,1033
14,1080
15,1120
16,1188
17,1229
18,1254
19,1336
20,854
21,935
22,997
23,1039
24,1097
25,1163
26,1209
27,1213
28,1273
29,1334
30,1349
31,1435
32,833
33,902
34,968
35,1020
36,1074
37,1123
38,1141
39,1192
40,1307
41,1319
42,1366
43,1403
44,857
45,904
46,1015
47,1007
48,1118
49,1146
50,1156
51,1251
52,1290
53,1342
54,1374
55,1466
56,880
57,924
58,949
59,995
60,1089
61,1129
62,1186
63,1247
64,1287
65,1334
66,1370
67,1402
68,892
69,925
70,953
71,1037
72,1119
73,1147
74,840
75,897
76,952
77,1016
78,1092
79,1123
80,1131
81,1207
82,1233
83,1313
84,1373
85,1414
86,854
87,913
88,951
89,1013
90,1069
91,1090
92,1156
93,1216
94,1256
95,1287
96,1413
97,1463
98,875
99,928
100,980
101,992
102,1116
103,1162
104,1173
105,1209
106,1255
107,1337
108,1383
109,1433
110,871
111,919
112,965
113,1031
114,1075
115,1103
116,1216
117,1224
118,1326
119,1356
120,1353
121,1472
122,904
123,917
124,1016
125,1041
126,1118
127,1137
128,1175
129,1233
130,1254
131,1369
132,1429
133,1444
134,915
135,906
136,1004
137,1019
138,1109
139,1164
140,1182
141,1275
142,1253
143,1346
144,1428
145,1432
146,927
147,926
148,992
149,1084
150,1094
151,1147
152,1238
153,1248
154,1298
155,1390
156,1394
157,1444
158,842
159,929
160,974
161,1064
162,1133
163,1097
164,1179
165,1252
166,1305
167,1376
168,1379
169,1436
170,842
171,924
172,1012
173,1038
174,1117
175,1201
176,1231
177,1225
178,1289
179,1334
180,1397
181,1476
182,842
183,920
184,983
185,1027
186,1087
187,1161
188,1184
189,1263
190,1326
191,1348
192,1425
193,1485
194,874
195,933
196,991
197,1028
198,1084
199,1144
200,1177
201,1234
202,1265
203,1310
204,1379
205,1488
