Time,java.lang.Character Data
0,4222
1,6016
2,6085
3,6085
4,6108
5,4337
6,6131
7,6131
8,680
9,4268
10,3785
11,4337
12,4360
13,4383
14,4406
15,4452
16,4475
17,4475
18,2681
19,4452
20,565
21,4222
22,4222
23,4222
24,4314
25,6062
26,5993
27,2474
28,4268
29,2543
30,2520
31,4314
32,2313
33,4130
34,5970
35,6062
36,6085
37,7810
38,6039
39,4337
40,7879
41,4291
42,6085
43,4682
44,2336
45,5901
46,7718
47,6016
48,7787
49,6039
50,4291
51,6177
52,6706
53,6729
54,6752
55,8523
56,2336
57,4130
58,4245
59,2520
60,6016
61,4245
62,4268
63,4291
64,4314
65,4314
66,4291
67,4337
68,5924
69,7764
70,6039
71,7833
72,9604
73,7856
74,4038
75,6568
76,6614
77,6637
78,8477
79,8408
80,4889
81,6660
82,6683
83,6706
84,6729
85,6752
86,2474
87,7649
88,5901
89,5901
90,5947
91,5947
92,5970
93,5970
94,6062
95,4268
96,9558
97,9558
98,2497
99,4314
100,6108
101,4383
102,6154
103,6177
104,4406
105,4429
106,4429
107,4452
108,4452
109,4498
110,2405
111,4222
112,4337
113,4383
114,6131
115,4360
116,7465
117,5694
118,9213
119,7465
120,5694
121,9282
122,4176
123,7764
124,7833
125,7856
126,9650
127,7948
128,7879
129,7902
130,6108
131,7879
132,9650
133,7902
134,4153
135,5970
136,6016
137,6062
138,5993
139,7856
140,6131
141,7902
142,4360
143,6131
144,6131
145,6154
146,5947
147,6085
148,7879
149,9765
150,7994
151,7925
152,9673
153,7925
154,7948
155,9742
156,7948
157,6200
158,5901
159,7718
160,7764
161,7810
162,9558
163,6039
164,7810
165,8500
166,10271
167,10294
168,6729
169,8500
170,5809
171,7626
172,9420
173,7695
174,9489
175,9512
176,9489
177,7718
178,7741
179,7741
180,7787
181,8776
182,5901
183,7695
184,7764
185,5993
186,7787
187,7787
188,7810
189,9558
190,9604
191,7833
192,9581
193,11375
194,5855
195,5970
196,5993
197,6085
198,6108
199,7810
200,6085
201,6039
202,6039
203,6039
204,6039
205,7833
