Time,java.lang.Class Data
0,28501
1,57836
2,57843
3,57843
4,57843
5,57843
6,57843
7,57845
8,28955
9,28955
10,28956
11,28956
12,28956
13,28956
14,28956
15,28956
16,28956
17,28956
18,28956
19,28957
20,28915
21,29001
22,29001
23,29001
24,29001
25,29001
26,29001
27,29001
28,29001
29,29001
30,29004
31,29004
32,29004
33,29004
34,29004
35,29005
36,29005
37,29005
38,29005
39,29005
40,29005
41,29005
42,29005
43,29005
44,29006
45,29006
46,29006
47,29006
48,29006
49,29006
50,29006
51,29006
52,29006
53,29006
54,29007
55,29007
56,29007
57,29007
58,29007
59,29007
60,29007
61,29007
62,29007
63,29007
64,29007
65,29007
66,29007
67,29007
68,29007
69,29007
70,29007
71,29007
72,29007
73,29007
74,29007
75,29007
76,29007
77,29007
78,29007
79,29007
80,29007
81,29007
82,29007
83,29007
84,29007
85,29007
86,29007
87,29007
88,29007
89,29007
90,29007
91,29007
92,29007
93,29007
94,29007
95,29007
96,29007
97,29007
98,29007
99,29007
100,29007
101,29007
102,29007
103,29007
104,29007
105,29007
106,29007
107,29007
108,29007
109,29007
110,29007
111,29007
112,29007
113,29007
114,29007
115,29007
116,29007
117,29007
118,29007
119,29007
120,29007
121,29007
122,29007
123,29007
124,29007
125,29007
126,29007
127,29007
128,29007
129,29007
130,29007
131,29007
132,29007
133,29007
134,29007
135,29007
136,29007
137,29007
138,29007
139,29007
140,29007
141,29007
142,29007
143,29007
144,29007
145,29007
146,29007
147,29007
148,29007
149,29007
150,29007
151,29007
152,29007
153,29007
154,29007
155,29007
156,29007
157,29007
158,29007
159,29007
160,29007
161,29007
162,29007
163,29007
164,29007
165,29007
166,29007
167,29007
168,29007
169,29007
170,29007
171,29007
172,29007
173,29007
174,29007
175,29007
176,29007
177,29007
178,29007
179,29007
180,29007
181,29007
182,29007
183,29007
184,29007
185,29007
186,29007
187,29007
188,29007
189,29007
190,29007
191,29007
192,29007
193,29007
194,29008
195,29008
196,29008
197,29008
198,29008
199,29008
200,29008
201,29008
202,29008
203,29008
204,29008
205,29009
