Time,java.lang.ClassNotFoundException Data
0,616
1,1428
2,630
3,1008
4,1064
5,1064
6,1050
7,1008
8,392
9,210
10,1064
11,1008
12,1050
13,392
14,658
15,794
16,1064
17,630
18,1064
19,1694
20,1624
21,112
22,1064
23,714
24,1064
25,1064
26,1050
27,1680
28,630
29,616
30,1064
31,308
32,1078
33,1064
34,1064
35,630
36,1694
37,1064
38,630
39,1064
40,630
41,630
42,1064
43,644
44,1078
45,616
46,1008
47,1092
48,1064
49,434
50,630
51,1064
52,1442
53,1064
54,630
55,1050
56,630
57,448
58,1050
59,658
60,1064
61,658
62,378
63,1722
64,2114
65,1064
66,1064
67,1064
68,1694
69,1064
70,630
71,881
72,185
73,630
74,1064
75,658
76,630
77,1064
78,658
79,630
80,2058
81,630
82,2128
83,1064
84,1694
85,1498
86,630
87,2128
88,1680
89,1722
90,1064
91,1064
92,1694
93,1722
94,1064
95,2128
96,1022
97,1078
98,1313
99,2100
100,1064
101,2114
102,1078
103,1512
104,630
105,2128
106,434
107,1064
108,2128
109,1064
110,1064
111,2128
112,1064
113,1064
114,2128
115,448
116,1064
117,392
118,1106
119,2142
120,126
121,1694
122,1680
123,2100
124,1050
125,448
126,1680
127,1064
128,1456
129,2128
130,2128
131,1050
132,1064
133,1106
134,630
135,1064
136,630
137,1064
138,1078
139,1064
140,1078
141,2058
142,1064
143,1106
144,2128
145,632
146,1064
147,1064
148,630
149,1064
150,1064
151,448
152,616
153,2128
