Time,java.lang.StackTraceElement Data
0,9060
1,55050
2,26867
3,49866
4,46461
5,5002
6,60250
7,48695
8,2240
9,55706
10,44382
11,44228
12,16151
13,55032
14,55102
15,17803
16,50953
17,55708
18,8922
19,41020
20,4984
21,22138
22,55266
23,28844
24,57433
25,70811
26,58878
27,14035
28,1865
29,12909
30,67437
31,13680
32,15059
33,55325
34,59998
35,57740
36,43870
37,11958
38,8597
39,64445
40,21854
41,27247
42,4435
43,21063
44,1100
45,61938
46,14271
47,75198
48,48792
49,367
50,60250
51,37498
52,47878
53,17422
54,72281
55,62472
56,36159
57,252
58,2780
59,62490
60,12820
61,26339
62,66705
63,32625
64,47255
65,592
66,2671
67,71301
68,3098
69,5163
70,50893
71,82572
72,64232
73,15182
74,42545
75,39187
76,60429
77,94323
78,76414
79,6160
80,30912
81,7421
82,31083
83,48713
84,24364
85,51333
86,48713
87,33100
88,48390
89,57506
90,25734
91,29900
92,39094
93,33093
94,2780
95,103656
96,98941
97,57758
98,55388
99,46523
100,2510
101,94408
102,83733
103,32284
104,17141
105,6178
106,52044
107,44347
108,14274
109,60232
110,42896
111,14427
112,67726
113,46150
114,15233
115,94514
116,21890
117,117431
118,70900
119,6381
120,92785
121,102808
122,24210
123,114507
124,65910
125,108910
126,61327
127,37269
128,57919
129,12109
130,76616
131,113624
132,62490
133,115264
134,22963
135,82422
136,39509
137,88816
138,114219
139,55014
140,106157
141,13851
142,74224
143,123717
144,24364
145,117504
146,40515
147,64982
148,120230
149,55014
150,65234
151,120230
152,53222
153,60429
154,115659
155,46451
156,49745
157,270
158,50173
159,55032
160,96843
161,131513
162,2859
163,45103
164,73208
165,68915
166,114298
167,14930
168,42724
169,2240
170,48380
171,62918
172,62742
173,107960
174,121383
175,120463
176,14930
177,40246
178,38613
179,57758
180,88124
181,5002
182,16968
183,48763
184,28844
185,59925
186,70373
187,55273
188,75162
189,96244
190,73688
191,102233
192,112772
193,41427
194,57433
195,66103
196,39173
197,53311
198,59949
199,33907
200,51081
201,8917
202,18795
203,19997
204,129730
