Time,java.lang.String Data
0,502964
1,845230
2,724557
3,794299
4,790398
5,503981
6,921813
7,846568
8,436047
9,838958
10,670572
11,752395
12,585189
13,856289
14,894891
15,627762
16,870376
17,853545
18,542366
19,769085
20,483686
21,717438
22,861498
23,780542
24,896633
25,1053020
26,989710
27,469646
28,575992
29,527708
30,629809
31,1040700
32,569849
33,567097
34,913329
35,932418
36,901489
37,828304
38,599581
39,524099
40,1088713
41,750199
42,669475
43,594521
44,628274
45,474438
46,976538
47,596189
48,1060333
49,842421
50,484450
51,964710
52,684904
53,817237
54,675228
55,1102784
56,942142
57,750722
58,470503
59,500646
60,974314
61,660805
62,775939
63,1051551
64,750488
65,822709
66,504087
67,547760
68,997203
69,571447
70,549419
71,838706
72,1074482
73,1038394
74,565329
75,739454
76,813172
77,965289
78,1133756
79,1128886
80,531712
81,663204
82,592312
83,809690
84,890490
85,800088
86,787065
87,872994
88,751706
89,860144
90,904558
91,729371
92,724466
93,778295
94,673344
95,535212
96,1308592
97,1275446
98,910207
99,876693
100,818835
101,502954
102,1255164
103,1120226
104,759578
105,681463
106,529343
107,926008
108,797223
109,672547
110,939434
111,817060
112,647575
113,1042942
114,855756
115,644816
116,1212096
117,764563
118,1399627
119,1086377
120,610568
121,1282173
122,1222717
123,782758
124,1345863
125,1072301
126,1378358
127,1004680
128,708304
129,968865
130,629262
131,1171938
132,1447757
133,1028463
134,1349056
135,759656
136,1171894
137,710189
138,1124243
139,1351556
140,901642
141,1341581
142,647747
143,1094944
144,1458278
145,816710
146,1375544
147,748818
148,1023069
149,1440390
150,904949
151,1047141
152,1453257
153,909629
154,1013394
155,1441379
156,799546
157,875696
158,496953
159,846559
160,869656
161,1227756
162,1527272
163,544602
164,807611
165,1149009
166,1150871
167,1385440
168,635913
169,865914
170,506007
171,773965
172,1069218
173,1016636
174,1256126
175,1481386
176,1485449
177,627974
178,825893
179,806973
180,974709
181,1161422
182,545177
183,700981
184,869939
185,828543
186,979988
187,1069351
188,958535
189,1116742
190,1280616
191,1147385
192,1272537
193,1408000
194,853743
195,941701
196,1004559
197,870513
198,915167
199,993064
200,799277
201,833591
202,679028
203,696830
204,684594
205,1592391
