Time,java.lang.StringBuilder Data
0,5405
1,13364
2,9578
3,10908
4,11116
5,1981
6,14400
7,12765
8,377
9,12081
10,6654
11,9096
12,4071
13,12663
14,13396
15,5143
16,12722
17,10582
18,1400
19,9073
20,1388
21,9034
22,12548
23,10267
24,13185
25,17887
26,16076
27,273
28,2913
29,1967
30,4065
31,15908
32,3434
33,3502
34,13972
35,13924
36,12812
37,11277
38,3351
39,982
40,18816
41,9030
42,4247
43,3445
44,4729
45,459
46,15755
47,3980
48,17030
49,11483
50,284
51,13750
52,5639
53,9319
54,4861
55,17560
56,14361
57,8196
58,301
59,1546
60,14836
61,6450
62,9297
63,16469
64,9025
65,9660
66,1077
67,1640
68,14878
69,4464
70,2496
71,10509
72,17399
73,16292
74,3194
75,8171
76,10087
77,14187
78,19083
79,18106
80,1093
81,5397
82,2836
83,9584
84,12073
85,9167
86,9429
87,12508
88,7444
89,11801
90,12100
91,6660
92,6754
93,8800
94,5314
95,1068
96,23602
97,22780
98,13322
99,11770
100,10389
101,714
102,21670
103,18655
104,6988
105,6844
106,550
107,12367
108,8088
109,5265
110,13738
111,10700
112,5863
113,16008
114,11165
115,4605
116,20962
117,8579
118,25004
119,16938
120,2910
121,21471
122,21251
123,9693
124,24235
125,17082
126,25664
127,14290
128,5751
129,13212
130,3042
131,19537
132,26692
133,14552
134,24855
135,7975
136,19478
137,6106
138,17754
139,24259
140,11194
141,24337
142,3665
143,16459
144,26181
145,9081
146,25266
147,7511
148,15259
149,26656
150,11680
151,15534
152,26624
153,11121
154,13884
155,25995
156,7620
157,9465
158,760
159,9960
160,10027
161,20316
162,28458
163,1005
164,8026
165,18166
166,18455
167,24283
168,2866
169,9634
170,842
171,6985
172,17141
173,14701
174,20092
175,27815
176,27108
177,2841
178,8992
179,7209
180,12493
181,17421
182,1655
183,6464
184,10458
185,9726
186,13137
187,15710
188,12368
189,16390
190,21686
191,16974
192,20191
193,24404
194,9812
195,12407
196,13710
197,10141
198,11485
199,13207
200,7422
201,8009
202,5108
203,4257
204,4057
205,29510
