Time,java.lang.StringCoding$StringDecoder Data
0,205
1,251
2,244
3,238
4,239
5,265
6,254
7,237
8,204
9,247
10,250
11,255
12,231
13,218
14,241
15,233
16,248
17,416
18,402
19,190
20,265
21,253
22,252
23,240
24,232
25,416
26,229
27,254
28,199
29,263
30,237
31,249
32,207
33,414
34,237
35,214
36,258
37,211
38,230
39,266
40,222
41,239
42,195
43,224
44,263
45,265
46,230
47,249
48,267
49,276
50,230
51,241
52,232
53,235
54,234
55,234
56,134
57,215
58,439
59,432
60,231
61,232
62,224
63,431
64,273
65,219
66,241
67,205
68,233
69,226
70,207
71,265
72,232
73,201
74,424
75,225
76,450
77,269
78,433
79,271
80,226
81,442
82,411
83,456
84,252
85,244
86,426
87,464
88,258
89,432
90,220
91,277
92,255
93,446
94,234
95,451
96,399
97,363
98,230
99,435
100,260
101,469
102,237
103,264
104,462
105,232
106,251
107,458
108,192
109,219
110,280
111,472
112,419
113,425
114,453
115,228
116,409
117,256
118,271
119,468
120,465
121,219
122,246
123,266
124,208
125,225
126,233
127,245
128,256
129,239
130,264
131,433
132,272
133,280
134,449
135,222
136,237
137,249
138,230
139,232
140,244
141,208
142,483
