Time,java.lang.ThreadLocal$ThreadLocalMap$Entry Data
0,635
1,1339
2,1255
3,1256
4,1289
5,995
6,1458
7,1393
8,751
9,1305
10,1173
11,1353
12,1121
13,1453
14,1427
15,1183
16,1472
17,1365
18,940
19,1260
20,776
21,1226
22,1456
23,1335
24,1441
25,1638
26,1465
27,952
28,1056
29,1035
30,1159
31,1564
32,909
33,1098
34,1553
35,1502
36,1456
37,1407
38,1096
39,983
40,1684
41,1355
42,1118
43,1152
44,990
45,964
46,1684
47,1163
48,1721
49,1480
50,975
51,1519
52,1208
53,1405
54,1139
55,1692
56,1344
57,1230
58,938
59,1050
60,1627
61,1194
62,1312
63,1637
64,1295
65,1384
66,1002
67,1043
68,1367
69,1109
70,1110
71,1331
72,1736
73,1657
74,936
75,1407
76,1383
77,1582
78,1803
79,1796
80,1041
81,1215
82,1122
83,1425
84,1530
85,1359
86,1197
87,1436
88,1235
89,1427
90,1406
91,1313
92,1297
93,1231
94,1195
95,969
96,1874
97,1876
98,1340
99,1391
100,1380
101,1003
102,1793
103,1810
104,1309
105,1341
106,1013
107,1481
108,1360
109,1162
110,1343
111,1383
112,1197
113,1638
114,1391
115,1102
116,1804
117,1331
118,2004
119,1781
120,1104
121,1847
122,1668
123,1351
124,1913
125,1630
126,2004
127,1537
128,1214
129,1497
130,1145
131,1807
132,2062
133,1608
134,1784
135,1265
136,1829
137,1248
138,1726
139,2037
140,1409
141,2048
142,1150
143,1702
144,2184
145,1429
146,1823
147,1344
148,1675
149,2127
150,1516
151,1695
152,2164
153,1480
154,1615
155,2144
156,1352
157,1516
158,1039
159,1380
160,1456
161,1921
162,2277
163,1062
164,1388
165,1792
166,1843
167,2156
168,1278
169,1528
170,1026
171,1284
172,1738
173,1688
174,1902
175,2271
176,2193
177,1148
178,1364
179,1385
180,1592
181,1772
182,1077
183,1263
184,1439
185,1461
186,1582
187,1736
188,1535
189,1835
190,1979
191,1853
192,2006
193,2204
194,1346
195,1517
196,1626
197,1427
198,1569
199,1664
200,1473
201,1425
202,1296
203,1353
204,1344
205,2444
