Time,java.lang.ThreadLocal$ThreadLocalMap Data
0,276
1,243
2,224
3,242
4,152
5,295
6,284
7,82
8,240
9,211
10,272
11,210
12,297
13,285
14,214
15,300
16,278
17,121
18,222
19,100
20,241
21,302
22,267
23,289
24,378
25,307
26,131
27,176
28,161
29,171
30,336
31,170
32,220
33,353
34,342
35,316
36,312
37,217
38,174
39,409
40,298
41,224
42,221
43,196
44,152
45,409
46,228
47,430
48,321
49,154
50,346
51,244
52,314
53,220
54,411
55,275
56,208
57,121
58,149
59,336
60,193
61,266
62,351
63,223
64,282
65,146
66,139
67,297
68,187
69,174
70,244
71,401
72,368
73,158
74,298
75,294
76,343
77,431
78,450
79,175
80,234
81,198
82,298
83,332
84,288
85,240
86,298
87,255
88,279
89,279
90,272
91,265
92,225
93,203
94,139
95,434
96,429
97,269
98,261
99,245
100,114
101,393
102,405
103,240
104,241
105,134
106,277
107,249
108,184
109,276
110,263
111,202
112,348
113,260
114,172
115,398
116,252
117,456
118,388
119,164
120,412
121,389
122,273
123,442
124,372
125,483
126,308
127,215
128,310
129,207
130,413
131,497
132,339
133,424
134,229
135,442
136,216
137,387
138,488
139,264
140,480
141,197
142,375
143,545
144,263
145,440
146,244
147,358
148,507
149,301
150,360
151,503
152,272
153,310
154,495
155,234
156,285
157,135
158,234
159,278
160,438
161,563
162,122
163,251
164,380
165,376
166,479
167,181
168,250
169,138
170,211
171,376
172,342
173,411
174,563
175,521
176,184
177,237
178,252
179,297
180,382
181,172
182,226
183,274
184,281
185,325
186,390
187,297
188,408
189,425
190,392
191,438
192,498
193,250
194,285
195,326
196,251
197,267
198,298
199,259
200,225
201,173
202,213
203,201
204,566
