Time,java.lang.Throwable$WrappedPrintWriter Data
0,710
1,432
2,641
3,582
4,797
5,629
6,728
7,519
8,563
9,245
10,709
11,730
12,252
13,664
14,705
15,516
16,339
17,715
18,456
19,747
20,973
21,813
22,215
23,218
24,913
25,211
26,204
27,745
28,790
29,755
30,551
31,869
32,346
33,337
34,319
35,814
36,1001
37,619
38,797
39,438
40,608
41,281
42,984
43,830
44,486
45,831
46,415
47,900
48,414
49,604
50,951
51,652
52,1025
53,865
54,210
55,508
56,530
57,802
58,1174
59,1049
60,347
61,438
62,630
63,388
64,626
65,630
66,454
67,642
68,749
69,386
70,390
71,499
72,364
73,1357
74,1260
75,756
76,719
77,585
78,1264
79,1065
80,435
81,692
82,545
83,796
84,559
85,920
86,608
87,249
88,1201
89,348
90,1537
91,918
92,1236
93,1305
94,381
95,1481
96,904
97,1447
98,818
99,439
100,760
101,1047
102,1521
103,831
104,1505
105,357
106,1117
107,473
108,1105
109,1476
110,708
111,1377
112,216
113,1010
114,1621
115,388
116,1539
117,480
118,872
119,1586
120,708
121,879
122,1586
123,684
124,802
125,1515
126,550
127,633
128,629
129,697
130,1246
131,1744
132,553
133,1006
134,961
135,1479
136,203
137,547
138,578
139,847
140,838
141,1364
142,1588
143,1594
144,203
145,491
146,488
147,756
148,1101
149,264
150,619
151,456
152,788
153,923
154,720
155,999
156,1237
157,1003
158,1310
159,1464
160,564
161,747
162,875
163,551
164,679
165,787
166,453
167,619
168,280
169,256
170,1738
