Time,java.lang.ref.WeakReference Data
0,27358
1,33361
2,32884
3,33255
4,28176
5,27378
6,33569
7,28299
8,26861
9,33399
10,33101
11,33238
12,32697
13,33495
14,33538
15,32829
16,28395
17,33471
18,31595
19,33333
20,27106
21,33162
22,33634
23,33334
24,33665
25,39165
26,33852
27,27433
28,32874
29,27642
30,27719
31,33952
32,32660
33,33121
34,33963
35,34009
36,33976
37,28632
38,28019
39,27915
40,34411
41,33562
42,33448
43,28051
44,32860
45,27710
46,34274
47,33166
48,39564
49,28838
50,27732
51,34143
52,33564
53,33884
54,33338
55,39638
56,33725
57,33612
58,27897
59,27860
60,34171
61,33397
62,33678
63,34408
64,28560
65,33903
66,27961
67,27959
68,39194
69,28272
70,28214
71,34083
72,34757
73,34610
74,33198
75,29070
76,34176
77,34661
78,35149
79,39084
80,28478
81,33964
82,28532
83,34172
84,29364
85,34119
86,33648
87,29113
88,33845
89,34052
90,34303
91,33807
92,33875
93,33997
94,28605
95,28183
96,40387
97,35160
98,33987
99,34338
100,34164
101,28185
102,40327
103,34936
104,33989
105,33770
106,28270
107,34353
108,34189
109,33754
110,34172
111,34234
112,33792
113,34816
114,34341
115,33823
116,35277
117,34094
118,40872
119,35026
120,28578
121,40518
122,35213
123,34402
124,40947
125,35160
126,41033
127,35034
128,34407
129,34955
130,34032
131,40606
132,41237
133,35079
134,40475
135,29039
136,40496
137,34402
138,35457
139,40964
140,34805
141,35876
142,28887
143,40392
144,41348
145,34452
146,40932
147,29737
148,35435
149,41533
150,35228
151,35409
152,41482
153,35167
154,35365
155,41461
156,34952
157,35144
158,28953
159,35099
160,35136
161,41200
162,46913
163,29078
164,35059
165,40946
166,35719
167,41487
168,34478
169,29980
170,29007
171,34945
172,35611
173,35471
174,41279
175,41856
176,41793
177,34537
178,29942
179,35045
180,35488
181,35986
182,29209
183,34729
184,35381
185,35140
186,35515
187,41053
188,35499
189,41097
190,36351
191,36000
192,41491
193,41790
194,35232
195,35492
196,35685
197,35392
198,35528
199,35685
200,35167
201,35371
202,29670
203,34917
204,34959
205,42209
