Time,java.lang.reflect.Field Data
0,31209
1,49206
2,44815
3,46392
4,46774
5,42115
6,46891
7,46562
8,37395
9,41915
10,39472
11,39323
12,38445
13,42294
14,41945
15,38708
16,42055
17,39607
18,37593
19,41556
20,36924
21,40677
22,41793
23,40204
24,41796
25,44477
26,43767
27,37017
28,37645
29,37955
30,37185
31,41916
32,36969
33,37748
34,41480
35,41838
36,41823
37,41479
38,37122
39,37050
40,45139
41,40144
42,38309
43,39410
44,37283
45,37035
46,42253
47,38198
48,42567
49,41763
50,37032
51,41853
52,38687
53,38807
54,39699
55,44447
56,41715
57,40680
58,37032
59,37062
60,41868
61,40622
62,40174
63,41916
64,40786
65,38822
66,37377
67,37050
68,41999
69,39757
70,37080
71,41354
72,43209
73,41913
74,37533
75,39156
76,40713
77,41856
78,43493
79,41988
80,37062
81,38684
82,37095
83,40692
84,41524
85,40174
86,39287
87,41494
88,38384
89,41100
90,41778
91,37726
92,38324
93,41025
94,38642
95,37032
96,45876
97,46210
98,41670
99,41793
100,41736
101,37047
102,45513
103,42852
104,38399
105,39696
106,37032
107,41303
108,38905
109,40042
110,41700
111,41100
112,40071
113,41943
114,41115
115,39672
116,45816
117,40144
118,46617
119,42831
120,37107
121,45498
122,43839
123,40295
124,46571
125,44206
126,45981
127,41883
128,38702
129,41826
130,37107
131,44890
132,46026
133,41868
134,46461
135,40049
136,42642
137,38717
138,43342
139,45920
140,41778
141,46315
142,37125
143,42212
144,44396
145,40174
146,46476
147,39144
148,41898
149,46674
150,41778
151,41913
152,46674
153,41778
154,41856
155,46632
156,39410
157,38965
158,37032
159,41721
160,39091
161,43583
162,46998
163,37062
164,38905
165,44515
166,44251
167,46156
168,37731
169,41274
170,37032
171,39395
172,44561
173,41883
174,43807
175,47044
176,46677
177,37731
178,41434
179,38523
180,41823
181,43493
182,37077
183,40101
184,41751
185,40204
186,41826
187,42539
188,41808
189,42567
190,45861
191,41958
192,43583
193,46584
194,40731
195,41799
196,41844
197,40746
198,41766
199,41835
200,38402
201,39428
202,39433
203,37434
204,38297
205,46767
