Time,java.lang.reflect.Proxy$Key1 Data
0,255
1,507
2,396
3,459
4,480
5,239
6,521
7,509
8,205
9,475
10,425
11,418
12,254
13,511
14,507
15,343
16,514
17,489
18,211
19,449
20,216
21,391
22,514
23,382
24,525
25,569
26,544
27,211
28,216
29,300
30,252
31,551
32,259
33,288
34,532
35,534
36,502
37,518
38,258
39,213
40,664
41,401
42,314
43,250
44,270
45,208
46,600
47,257
48,610
49,506
50,206
51,520
52,414
53,474
54,252
55,572
56,538
57,354
58,206
59,238
60,561
61,338
62,370
63,583
64,455
65,480
66,293
67,246
68,541
69,308
70,256
71,470
72,683
73,586
74,272
75,460
76,398
77,538
78,740
79,599
80,213
81,413
82,258
83,432
84,513
85,366
86,485
87,527
88,370
89,503
90,493
91,300
92,401
93,427
94,424
95,215
96,790
97,796
98,532
99,491
100,482
101,210
102,682
103,734
104,368
105,380
106,209
107,508
108,463
109,308
110,536
111,494
112,322
113,560
114,497
115,248
116,780
117,372
118,816
119,679
120,258
121,688
122,774
123,415
124,808
125,573
126,838
127,540
128,418
129,534
130,257
131,654
132,848
133,561
134,816
135,322
136,670
137,420
138,736
139,822
140,488
141,836
142,265
143,548
144,842
145,370
146,823
147,451
148,570
149,852
150,512
151,572
152,852
153,489
154,538
155,855
156,440
157,480
158,229
159,478
160,490
161,738
162,876
163,214
164,463
165,590
166,608
167,826
168,278
169,466
170,229
171,434
172,632
173,563
174,764
175,926
176,873
177,278
178,470
179,382
180,518
181,685
182,224
183,328
184,484
185,374
186,534
187,610
188,520
189,610
190,776
191,592
192,756
193,837
194,400
195,525
196,539
197,404
198,515
199,534
200,407
201,446
202,278
203,265
204,351
205,910
