Time,java.lang.reflect.WeakCache$CacheKey Data
0,292
1,189
2,243
3,264
4,305
5,293
6,259
7,222
8,215
9,295
10,291
11,149
12,298
13,286
14,233
15,177
16,297
17,174
18,308
19,339
20,314
21,98
22,334
23,315
24,317
25,285
26,301
27,427
28,193
29,112
30,383
31,393
32,289
33,303
34,210
35,270
36,342
37,321
38,139
39,344
40,130
41,162
42,366
43,238
44,276
45,98
46,324
47,253
48,457
49,369
50,256
51,183
52,321
53,514
54,382
55,209
56,217
57,296
58,158
59,281
60,310
61,168
62,286
63,276
64,199
65,210
66,220
67,551
68,557
69,315
70,274
71,265
72,445
73,510
74,166
75,172
76,291
77,259
78,319
79,277
80,343
81,280
82,541
83,164
84,577
85,455
86,451
87,548
88,207
89,569
90,343
91,599
92,323
93,214
94,317
95,424
96,609
97,344
98,577
99,453
100,216
101,510
102,596
103,271
104,597
105,331
106,616
107,162
108,584
109,247
110,353
111,613
112,295
113,355
114,613
115,272
116,321
117,616
118,236
119,276
120,261
121,286
122,512
123,637
124,259
125,360
126,378
127,596
128,249
129,230
130,402
131,346
132,538
133,687
134,634
135,253
136,178
137,301
138,459
139,267
140,166
141,317
142,393
143,303
144,393
145,537
146,375
147,530
148,598
149,185
150,308
151,322
152,189
153,298
154,317
155,205
156,242
157,149
158,671
