Time,java.math.BigInteger Data
0,271
1,501
2,463
3,425
4,425
5,235
6,577
7,501
8,197
9,539
10,387
11,425
12,311
13,501
14,501
15,311
16,539
17,539
18,235
19,311
20,235
21,349
22,501
23,463
24,539
25,691
26,539
27,159
28,273
29,159
30,349
31,691
32,311
33,273
34,539
35,577
36,539
37,425
38,273
39,235
40,577
41,349
42,273
43,197
44,387
45,159
46,577
47,273
48,691
49,463
50,159
51,577
52,311
53,463
54,311
55,653
56,615
57,349
58,159
59,197
60,615
61,273
62,425
63,691
64,311
65,463
66,159
67,197
68,653
69,159
70,235
71,463
72,615
73,615
74,273
75,425
76,387
77,577
78,729
79,767
80,235
81,273
82,273
83,349
84,501
85,387
86,463
87,501
88,425
89,463
90,539
91,463
92,349
93,311
94,273
95,197
96,805
97,767
98,539
99,501
100,425
101,197
102,767
103,691
104,387
105,311
106,197
107,463
108,387
109,235
110,577
111,387
112,235
113,691
114,425
115,273
116,691
117,349
118,957
119,615
120,235
121,767
122,843
123,387
124,919
125,653
126,881
127,577
128,311
129,539
130,273
131,691
132,957
133,615
134,919
135,425
136,805
137,349
138,653
139,919
140,501
141,881
142,311
143,691
144,1071
145,387
146,957
147,387
148,653
149,995
150,501
151,653
152,995
153,463
154,577
155,919
156,387
157,463
158,159
159,425
160,539
161,767
162,1071
163,197
164,387
165,653
166,691
167,919
168,273
169,425
170,197
171,425
172,577
173,615
174,843
175,995
176,995
177,273
178,349
179,387
180,539
181,653
182,235
183,273
184,463
185,463
186,577
187,653
188,501
189,691
190,729
191,729
192,805
193,881
194,425
195,539
196,615
197,425
198,463
199,577
200,387
201,463
202,273
203,349
204,273
205,1147
