Time,java.math.MutableBigInteger Data
0,343
1,1027
2,913
3,799
4,799
5,229
6,1255
7,1027
8,115
9,1141
10,685
11,799
12,457
13,1027
14,1027
15,457
16,1141
17,1141
18,229
19,457
20,229
21,571
22,1027
23,913
24,1141
25,1597
26,1141
27,343
28,571
29,1597
30,457
31,343
32,1141
33,1255
34,1141
35,799
36,343
37,229
38,1255
39,571
40,343
41,685
42,1255
43,343
44,1597
45,913
46,1255
47,457
48,913
49,457
50,1483
51,1369
52,571
53,115
54,1369
55,343
56,799
57,1597
58,457
59,913
60,115
61,1483
62,229
63,913
64,1369
65,1369
66,343
67,799
68,685
69,1255
70,1711
71,1825
72,229
73,343
74,343
75,571
76,1027
77,685
78,913
79,1027
80,799
81,913
82,1141
83,913
84,571
85,457
86,343
87,115
88,1939
89,1825
90,1141
91,1027
92,799
93,115
94,1825
95,1597
96,685
97,457
98,115
99,913
100,685
101,229
102,1255
103,685
104,229
105,1597
106,799
107,343
108,1597
109,571
110,2395
111,1369
112,229
113,1825
114,2053
115,685
116,2281
117,1483
118,2167
119,1255
120,457
121,1141
122,343
123,1597
124,2395
125,1369
126,2281
127,799
128,1939
129,571
130,1483
131,2281
132,1027
133,2167
134,457
135,1597
136,2737
137,685
138,2395
139,685
140,1483
141,2509
142,1027
143,1483
144,2509
145,913
146,1255
147,2281
148,685
149,913
150,799
151,1141
152,1825
153,2737
154,115
155,685
156,1483
157,1597
158,2281
159,343
160,799
161,115
162,799
163,1255
164,1369
165,2053
166,2509
167,2509
168,343
169,571
170,685
171,1141
172,1483
173,229
174,343
175,913
176,913
177,1255
178,1483
179,1027
180,1597
181,1711
182,1711
183,1939
184,2167
185,799
186,1141
187,1369
188,799
189,913
190,1255
191,685
192,913
193,343
194,571
195,343
196,2965
