Time,java.net.SocketInputStream Data
0,292
1,476
2,461
3,460
4,461
5,371
6,484
7,463
8,64
9,290
10,265
11,304
12,285
13,304
14,312
15,303
16,311
17,317
18,225
19,299
20,88
21,317
22,324
23,329
24,342
25,425
26,420
27,215
28,312
29,220
30,231
31,373
32,176
33,308
34,419
35,417
36,426
37,487
38,410
39,324
40,504
41,336
42,401
43,328
44,160
45,361
46,471
47,366
48,485
49,398
50,286
51,414
52,407
53,425
54,400
55,511
56,201
57,325
58,312
59,257
60,428
61,314
62,337
63,370
64,327
65,350
66,298
67,328
68,382
69,480
70,422
71,519
72,611
73,544
74,263
75,451
76,455
77,472
78,568
79,560
80,357
81,445
82,444
83,449
84,468
85,467
86,158
87,463
88,387
89,390
90,395
91,372
92,389
93,394
94,395
95,307
96,607
97,599
98,175
99,335
100,401
101,306
102,447
103,431
104,328
105,315
106,304
107,356
108,342
109,321
110,181
111,338
112,315
113,358
114,424
115,312
116,506
117,403
118,601
119,508
120,387
121,605
122,318
123,528
124,579
125,544
126,668
127,561
128,529
129,548
130,438
131,572
132,672
133,558
134,297
135,412
136,459
137,423
138,442
139,554
140,430
141,543
142,342
143,459
144,499
145,413
146,432
147,472
148,577
149,691
150,562
151,580
152,691
153,561
154,580
155,682
156,551
157,497
158,433
159,550
160,559
161,591
162,697
163,457
164,549
165,612
166,701
167,716
168,494
169,578
170,394
171,495
172,589
173,544
174,624
175,645
176,643
177,496
178,499
179,505
180,530
181,572
182,437
183,522
184,541
185,457
186,557
187,562
188,546
189,645
190,649
191,583
192,659
193,755
194,440
195,471
196,474
197,458
198,476
199,551
200,458
201,460
202,460
203,450
204,443
205,609
