Time,java.net.SocketOutputStream Data
0,201
1,306
2,294
3,295
4,295
5,208
6,319
7,304
8,219
9,192
10,234
11,213
12,234
13,239
14,231
15,235
16,244
17,137
18,221
19,222
20,225
21,233
22,235
23,331
24,311
25,118
26,215
27,124
28,126
29,254
30,122
31,209
32,308
33,312
34,312
35,369
36,291
37,206
38,399
39,230
40,298
41,224
42,132
43,267
44,397
45,282
46,409
47,299
48,197
49,320
50,316
51,337
52,314
53,434
54,146
55,216
56,196
57,126
58,312
59,210
60,233
61,249
62,208
63,234
64,194
65,203
66,310
67,350
68,282
69,374
70,475
71,403
72,196
73,316
74,328
75,338
76,431
77,440
78,229
79,312
80,311
81,322
82,329
83,339
84,140
85,370
86,307
87,296
88,307
89,305
90,300
91,291
92,278
93,205
94,491
95,485
96,149
97,233
98,300
99,206
100,345
101,334
102,239
103,225
104,205
105,241
106,231
107,219
108,152
109,221
110,216
111,258
112,307
113,218
114,379
115,291
116,478
117,382
118,273
119,479
120,246
121,383
122,421
123,395
124,510
125,403
126,370
127,393
128,292
129,412
130,511
131,402
132,256
133,295
134,340
135,293
136,314
137,426
138,308
139,414
140,216
141,338
142,370
143,306
144,342
145,293
146,403
147,518
148,390
149,400
150,513
151,384
152,398
153,509
154,376
155,317
156,269
157,368
158,388
159,419
160,524
161,280
162,377
163,437
164,515
165,533
166,321
167,398
168,264
169,363
170,458
171,393
172,486
173,515
174,508
175,363
176,361
177,378
178,387
179,444
180,276
181,366
182,374
183,301
184,387
185,406
186,383
187,487
188,480
189,413
190,494
191,578
192,299
193,303
194,313
195,308
196,304
197,390
198,311
199,299
200,287
201,300
202,292
203,443
