Time,java.net.URI$Parser Data
0,319
1,1415
2,1041
3,1128
4,1227
5,227
6,1502
7,1426
8,1235
9,927
10,954
11,371
12,1422
13,1428
14,551
15,1451
16,1314
17,1064
18,81
19,862
20,1438
21,868
22,1507
23,1764
24,1634
25,163
26,239
27,322
28,1674
29,340
30,309
31,1541
32,1562
33,1388
34,1435
35,340
36,2002
37,933
38,344
39,224
40,418
41,1768
42,389
43,1831
44,1431
45,1494
46,853
47,1226
48,283
49,1782
50,1589
51,590
52,213
53,1727
54,529
55,810
56,1859
57,1094
58,1259
59,262
60,250
61,1607
62,406
63,309
64,1191
65,2095
66,1875
67,257
68,1128
69,862
70,1583
71,2396
72,1964
73,849
74,325
75,979
76,1435
77,795
78,1284
79,1506
80,693
81,1386
82,1316
83,581
84,804
85,966
86,903
87,74
88,2687
89,2705
90,1543
91,1292
92,1228
93,2136
94,2382
95,676
96,940
97,1428
98,1160
99,428
100,1575
101,1345
102,503
103,1753
104,1363
105,273
106,2610
107,806
108,2832
109,2038
110,332
111,2162
112,2600
113,1021
114,2787
115,1784
116,2988
117,1606
118,877
119,1552
120,316
121,2077
122,3050
123,1738
124,2832
125,698
126,2171
127,893
128,2352
129,2942
130,1277
131,2940
132,366
133,1736
134,3042
135,807
136,2867
137,1054
138,1785
139,3063
140,1422
141,1798
142,3059
143,1283
144,1584
145,3063
146,1054
147,1258
148,154
149,1204
150,1324
151,2444
152,3209
153,1160
154,1899
155,2008
156,2946
157,256
158,1242
159,162
160,968
161,1929
162,1753
163,2525
164,3295
165,3161
166,256
167,1159
168,788
169,1471
170,2121
171,150
172,543
173,1252
174,838
175,1553
176,1821
177,1487
178,1832
179,2614
180,1925
181,2500
182,2958
183,855
184,1495
185,1579
186,881
187,1437
188,1556
189,854
190,1061
191,449
192,396
193,504
194,3423
