Time,java.net.URLClassLoader$2 Data
0,1049
1,1910
2,1754
3,1610
4,1611
5,435
6,2435
7,2015
8,105
9,1966
10,771
11,1675
12,690
13,1910
14,2300
15,1135
16,2120
17,1956
18,420
19,1295
20,420
21,1795
22,2015
23,2270
24,2191
25,3185
26,2780
27,540
28,370
29,1201
30,3075
31,900
32,787
33,2590
34,2480
35,2210
36,1729
37,900
38,219
39,3420
40,1845
41,940
42,840
43,1275
44,154
45,2945
46,690
47,3230
48,1805
49,105
50,2570
51,710
52,1715
53,1005
54,3168
55,2690
56,1630
57,105
58,330
59,2705
60,1285
61,2025
62,3227
63,1400
64,1820
65,375
66,2795
67,731
68,642
69,1667
70,2880
71,3170
72,750
73,1295
74,2005
75,2655
76,3085
77,3695
78,315
79,710
80,734
81,1915
82,2015
83,2055
84,1580
85,2161
86,1840
87,2090
88,2105
89,1695
90,1435
91,1360
92,515
93,315
94,4090
95,3745
96,2375
97,2000
98,1590
99,210
100,4215
101,3330
102,1735
103,1168
104,105
105,2300
106,1400
107,972
108,2585
109,1840
110,1125
111,3215
112,1985
113,946
114,3344
115,1848
116,4480
117,3195
118,795
119,4110
120,3895
121,2095
122,4270
123,3170
124,4780
125,2795
126,815
127,2406
128,795
129,3635
130,5095
131,2705
132,4480
133,1770
134,3990
135,920
136,2935
137,4165
138,1895
139,4225
140,957
141,3125
142,5125
143,2055
144,4585
145,1249
146,2915
147,4915
148,1910
149,3020
150,4915
151,1895
152,2658
153,4750
154,995
155,1820
156,120
157,1545
158,1881
159,3840
160,5425
161,315
162,1400
163,3495
164,3500
165,4195
166,645
167,1475
168,120
169,1100
170,3065
171,2810
172,3536
173,5185
174,5122
175,645
176,1340
177,1555
178,2225
179,3040
180,435
181,1354
182,1742
183,2265
184,2419
185,3020
186,2270
187,3230
188,3775
189,3485
190,3715
191,4285
192,2110
193,2222
194,2537
195,2245
196,1955
197,2450
198,1750
199,1310
200,1020
201,1155
202,850
203,5710
