Time,java.nio.DirectByteBuffer$Deallocator Data
0,205
1,321
2,292
3,306
4,303
5,243
6,349
7,338
8,262
9,237
10,280
11,222
12,292
13,295
14,231
15,303
16,289
17,203
18,252
19,108
20,312
21,352
22,320
23,364
24,394
25,370
26,235
27,256
28,254
29,243
30,405
31,179
32,312
33,432
34,412
35,397
36,417
37,323
38,297
39,446
40,364
41,322
42,318
43,167
44,266
45,422
46,315
47,435
48,393
49,261
50,404
51,333
52,379
53,293
54,431
55,270
56,334
57,282
58,323
59,443
60,322
61,363
62,472
63,367
64,401
65,286
66,320
67,307
68,345
69,372
70,416
71,515
72,507
73,215
74,455
75,444
76,491
77,547
78,537
79,352
80,400
81,393
82,440
83,480
84,432
85,182
86,373
87,319
88,356
89,359
90,304
91,327
92,322
93,332
94,265
95,462
96,473
97,183
98,336
99,325
100,243
101,431
102,421
103,299
104,294
105,233
106,371
107,346
108,281
109,195
110,358
111,303
112,398
113,359
114,264
115,464
116,343
117,493
118,441
119,299
120,450
121,377
122,449
123,576
124,499
125,593
126,497
127,419
128,490
129,382
130,544
131,599
132,500
133,329
134,363
135,504
136,355
137,486
138,549
139,390
140,561
141,335
142,462
143,584
144,373
145,431
146,490
147,563
148,666
149,531
150,576
151,666
152,516
153,558
154,660
155,484
156,521
157,408
158,512
159,528
160,636
161,703
162,429
163,507
164,585
165,599
166,670
167,450
168,502
169,320
170,388
171,490
172,513
173,531
174,617
175,595
176,354
177,414
178,418
179,469
180,500
181,386
182,430
183,490
184,472
185,528
186,551
187,517
188,555
189,596
190,574
191,583
192,634
193,446
194,514
195,523
196,456
197,509
198,524
199,451
200,458
201,434
202,434
203,423
204,715
