Time,java.nio.DirectByteBuffer Data
0,174
1,396
2,301
3,364
4,361
5,199
6,428
7,404
8,35
9,344
10,273
11,342
12,198
13,364
14,379
15,271
16,390
17,362
18,155
19,302
20,98
21,350
22,426
23,386
24,418
25,516
26,449
27,182
28,239
29,260
30,310
31,467
32,190
33,331
34,509
35,490
36,510
37,509
38,360
39,322
40,644
41,461
42,391
43,365
44,190
45,231
46,574
47,301
48,599
49,460
50,208
51,474
52,355
53,440
54,302
55,556
56,357
57,339
58,207
59,248
60,487
61,312
62,383
63,543
64,370
65,420
66,253
67,245
68,409
69,326
70,314
71,428
72,636
73,584
74,230
75,461
76,441
77,538
78,648
79,640
80,278
81,374
82,325
83,430
84,514
85,430
86,257
87,441
88,337
89,392
90,411
91,312
92,350
93,347
94,329
95,216
96,627
97,632
98,294
99,399
100,384
101,178
102,569
103,575
104,326
105,287
106,192
107,438
108,384
109,273
110,310
111,400
112,296
113,503
114,409
115,235
116,620
117,359
118,694
119,565
120,251
121,601
122,582
123,452
124,745
125,588
126,776
127,556
128,420
129,541
130,340
131,672
132,810
133,569
134,542
135,315
136,622
137,359
138,611
139,709
140,419
141,721
142,283
143,526
144,763
145,382
146,655
147,511
148,643
149,863
150,562
151,646
152,858
153,543
154,603
155,844
156,494
157,556
158,337
159,519
160,559
161,783
162,917
163,337
164,522
165,685
166,667
167,826
168,435
169,504
170,270
171,412
172,626
173,567
174,688
175,873
176,792
177,352
178,430
179,457
180,515
181,639
182,324
183,428
184,493
185,495
186,549
187,653
188,532
189,682
190,724
191,660
192,733
193,776
194,462
195,513
196,574
197,461
198,497
199,554
200,456
201,450
202,379
203,395
204,401
205,902
