Time,java.nio.HeapByteBuffer Data
0,4364
1,13119
2,10143
3,9574
4,9602
5,1809
6,11311
7,11305
8,207
9,9780
10,5744
11,6663
12,6596
13,11226
14,12803
15,2102
16,12431
17,9272
18,842
19,8916
20,561
21,8131
22,11819
23,8784
24,12998
25,17157
26,16293
27,314
28,3670
29,731
30,1918
31,13760
32,3961
33,1550
34,13232
35,13281
36,10599
37,12213
38,3940
39,848
40,17421
41,8340
42,2638
43,2526
44,4379
45,544
46,13742
47,6537
48,14515
49,12466
50,357
51,12887
52,5371
53,9046
54,4563
55,17477
56,13366
57,6400
58,379
59,3347
60,14477
61,4901
62,8595
63,16734
64,8162
65,7315
66,698
67,3357
68,14068
69,4292
70,3549
71,9825
72,15576
73,16622
74,1582
75,6164
76,9654
77,13376
78,18451
79,17490
80,833
81,4843
82,3744
83,9446
84,10867
85,8609
86,9492
87,12717
88,6019
89,10833
90,10339
91,6045
92,5816
93,6780
94,5296
95,586
96,21622
97,21816
98,13025
99,10355
100,9746
101,424
102,19399
103,15762
104,5963
105,8278
106,623
107,12744
108,8434
109,4893
110,13099
111,11099
112,4937
113,13988
114,11222
115,4549
116,21663
117,8416
118,23350
119,14621
120,3799
121,19484
122,19289
123,8891
124,23026
125,17132
126,24846
127,13567
128,4196
129,13404
130,4090
131,18392
132,24441
133,15304
134,23029
135,10083
136,18040
137,4343
138,17770
139,25796
140,10031
141,24960
142,4180
143,16687
144,23940
145,8485
146,23321
147,6216
148,14298
149,25239
150,11791
151,15077
152,24582
153,10062
154,13522
155,26150
156,7978
157,8709
158,2384
159,9793
160,9623
161,19357
162,27370
163,712
164,8689
165,17398
166,20014
167,25762
168,1649
169,10277
170,2011
171,6186
172,17318
173,16275
174,19153
175,26721
176,26513
177,1688
178,9171
179,6204
180,11834
181,15692
182,887
183,5375
184,9938
185,8910
186,13242
187,14312
188,13005
189,14713
190,22058
191,16954
192,18262
193,23331
194,9566
195,13028
196,13681
197,9262
198,12789
199,13433
200,6340
201,7134
202,7194
203,4481
204,2158
205,29887
