Time,java.nio.StringCharBuffer Data
0,3510
1,5523
2,4421
3,5297
4,5088
5,240
6,5858
7,5127
8,85
9,5452
10,1886
11,2376
12,3315
13,5564
14,5682
15,902
16,5117
17,2313
18,530
19,5051
20,328
21,4195
22,5545
23,4654
24,5667
25,9346
26,8855
27,3179
28,82
29,217
30,6109
31,792
32,727
33,5826
34,5777
35,5767
36,4867
37,598
38,466
39,9144
40,4207
41,1645
42,1887
43,1086
44,161
45,5723
46,3179
47,6353
48,5168
49,78
50,5968
51,1716
52,2335
53,3800
54,9578
55,5984
56,5169
57,80
58,326
59,5982
60,3799
61,4525
62,6371
63,4740
64,2340
65,246
66,6482
67,3264
68,276
69,5428
70,7024
71,6091
72,814
73,1588
74,5406
75,5789
76,7317
77,6760
78,420
79,1387
80,397
81,5092
82,5173
83,4474
84,2540
85,5257
86,2038
87,5556
88,5664
89,2198
90,1707
91,5130
92,1368
93,187
94,10963
95,10139
96,5718
97,5770
98,5217
99,72
100,10949
101,7150
102,2076
103,3992
104,298
105,5630
106,2150
107,3903
108,5727
109,5417
110,3842
111,6189
112,5339
113,3929
114,10374
115,4354
116,11408
117,6229
118,501
119,10801
120,7905
121,4470
122,11227
123,9247
124,11449
125,5901
126,1811
127,5817
128,779
129,9896
130,11357
131,5858
132,11349
133,3927
134,6999
135,1911
136,6981
137,11297
138,5400
139,10683
140,851
141,8914
142,9294
143,4345
144,11475
145,1869
146,5963
147,11669
148,5488
149,6247
150,11624
151,5365
152,5879
153,11388
154,3610
155,2153
156,123
157,5229
158,2483
159,7955
160,12358
161,245
162,2096
163,9349
164,9170
165,11149
166,734
167,4909
168,2103
169,9062
170,5899
171,7817
172,11497
173,11585
174,730
175,4696
176,2000
177,5850
178,7221
179,240
180,4072
181,5305
182,4719
183,5662
184,6245
185,5760
186,6473
187,10627
188,6328
189,8011
190,11119
191,5412
192,5625
193,6117
194,5058
195,5508
196,5847
197,2137
198,2804
199,3704
200,1053
201,972
202,12107
