Time,java.security.CodeSource Data
0,2883
1,3375
2,3375
3,3375
4,3375
5,3375
6,3375
7,3375
8,3239
9,3239
10,3239
11,3239
12,3239
13,3239
14,3239
15,3239
16,3239
17,3239
18,3239
19,3239
20,3197
21,3279
22,3197
23,3197
24,3197
25,3197
26,3197
27,3197
28,3197
29,3197
30,3200
31,3197
32,3197
33,3197
34,3197
35,3197
36,3197
37,3197
38,3197
39,3197
40,3197
41,3197
42,3197
43,3197
44,3197
45,3197
46,3197
47,3197
48,3197
49,3197
50,3197
51,3197
52,3197
53,3197
54,3197
55,3197
56,3197
57,3197
58,3197
59,3197
60,3197
61,3197
62,3197
63,3197
64,3197
65,3197
66,3197
67,3197
68,3197
69,3197
70,3197
71,3197
72,3197
73,3197
74,3197
75,3197
76,3197
77,3197
78,3197
79,3197
80,3197
81,3197
82,3197
83,3197
84,3197
85,3197
86,3197
87,3197
88,3197
89,3197
90,3197
91,3197
92,3197
93,3197
94,3197
95,3197
96,3197
97,3197
98,3197
99,3197
100,3197
101,3197
102,3197
103,3197
104,3197
105,3197
106,3197
107,3197
108,3197
109,3197
110,3197
111,3197
112,3197
113,3197
114,3197
115,3197
116,3197
117,3197
118,3197
119,3197
120,3197
121,3197
122,3197
123,3197
124,3197
125,3197
126,3197
127,3197
128,3197
129,3197
130,3197
131,3197
132,3197
133,3197
134,3197
135,3197
136,3197
137,3197
138,3197
139,3197
140,3197
141,3197
142,3197
143,3197
144,3197
145,3197
146,3197
147,3197
148,3197
149,3197
150,3197
151,3197
152,3197
153,3197
154,3197
155,3197
156,3197
157,3197
158,3197
159,3197
160,3197
161,3197
162,3197
163,3197
164,3197
165,3197
166,3197
167,3197
168,3197
169,3197
170,3197
171,3197
172,3197
173,3197
174,3197
175,3197
176,3197
177,3197
178,3197
179,3197
180,3197
181,3197
182,3197
183,3197
184,3197
185,3197
186,3197
187,3197
188,3197
189,3197
190,3197
191,3197
192,3197
193,3197
194,3198
195,3197
196,3197
197,3197
198,3197
199,3197
200,3197
201,3197
202,3197
203,3197
204,3197
205,3197
