Time,java.security.PrivilegedActionException Data
0,440
1,1020
2,450
3,720
4,760
5,760
6,750
7,720
8,280
9,150
10,760
11,720
12,750
13,280
14,470
15,614
16,760
17,450
18,760
19,1210
20,1160
21,80
22,760
23,510
24,760
25,760
26,750
27,1200
28,450
29,440
30,760
31,220
32,770
33,760
34,760
35,450
36,1210
37,760
38,450
39,760
40,450
41,450
42,760
43,460
44,770
45,440
46,720
47,780
48,760
49,310
50,450
51,760
52,1030
53,760
54,450
55,750
56,450
57,320
58,750
59,470
60,760
61,470
62,270
63,1230
64,1510
65,760
66,760
67,760
68,1210
69,760
70,450
71,629
72,131
73,450
74,760
75,470
76,450
77,760
78,470
79,450
80,1470
81,450
82,1520
83,760
84,1210
85,1070
86,450
87,1520
88,1200
89,1230
90,760
91,760
92,1210
93,1230
94,760
95,1520
96,730
97,770
98,938
99,1500
100,760
101,1510
102,770
103,1080
104,450
105,1520
106,310
107,760
108,1520
109,760
110,760
111,1520
112,760
113,760
114,1520
115,320
116,760
117,280
118,790
119,1530
120,1210
121,1200
122,1500
123,750
124,320
125,1200
126,760
127,1040
128,1520
129,1520
130,750
131,760
132,790
133,450
134,760
135,450
136,760
137,770
138,760
139,770
140,1470
141,760
142,790
143,1520
144,452
145,760
146,760
147,450
148,760
149,760
150,320
151,440
152,1520
