Time,java.security.ProtectionDomain$Key Data
0,3069
1,3698
2,3654
3,3638
4,3677
5,3563
6,3730
7,3720
8,3327
9,3545
10,3500
11,3587
12,3501
13,3613
14,3595
15,3498
16,3619
17,3596
18,3409
19,3520
20,3307
21,3513
22,3577
23,3538
24,3568
25,3676
26,3595
27,3361
28,3408
29,3396
30,3366
31,3634
32,3378
33,3455
34,3604
35,3630
36,3582
37,3581
38,3452
39,3402
40,3705
41,3539
42,3458
43,3437
44,3415
45,3381
46,3681
47,3470
48,3709
49,3575
50,3394
51,3651
52,3471
53,3562
54,3461
55,3708
56,3532
57,3462
58,3358
59,3366
60,3608
61,3450
62,3527
63,3659
64,3461
65,3538
66,3375
67,3382
68,3550
69,3440
70,3430
71,3502
72,3681
73,3670
74,3345
75,3535
76,3550
77,3634
78,3701
79,3745
80,3401
81,3456
82,3453
83,3545
84,3580
85,3536
86,3463
87,3577
88,3519
89,3536
90,3555
91,3539
92,3519
93,3471
94,3430
95,3378
96,3729
97,3736
98,3522
99,3542
100,3526
101,3363
102,3720
103,3694
104,3513
105,3472
106,3365
107,3543
108,3491
109,3432
110,3536
111,3534
112,3455
113,3666
114,3534
115,3436
116,3713
117,3533
118,3797
119,3675
120,3423
121,3726
122,3670
123,3562
124,3784
125,3683
126,3817
127,3610
128,3455
129,3611
130,3464
131,3703
132,3821
133,3626
134,3713
135,3506
136,3755
137,3454
138,3685
139,3808
140,3538
141,3790
142,3458
143,3667
144,3874
145,3523
146,3739
147,3507
148,3650
149,3844
150,3579
151,3638
152,3826
153,3548
154,3610
155,3849
156,3488
157,3549
158,3344
159,3495
160,3537
161,3741
162,3894
163,3366
164,3495
165,3671
166,3667
167,3799
168,3399
169,3505
170,3352
171,3458
172,3663
173,3616
174,3716
175,3891
176,3870
177,3410
178,3508
179,3514
180,3558
181,3677
182,3399
183,3470
184,3548
185,3532
186,3619
187,3673
188,3579
189,3677
190,3714
191,3698
192,3716
193,3820
194,3531
195,3580
196,3619
197,3533
198,3553
199,3600
200,3514
201,3472
202,3412
203,3460
204,3431
205,3920
