Time,java.security.Provider$ServiceKey Data
0,383
1,459
2,453
3,450
4,394
5,330
6,458
7,396
8,327
9,453
10,399
11,403
12,406
13,458
14,457
15,397
16,396
17,408
18,389
19,450
20,327
21,455
22,458
23,455
24,465
25,515
26,512
27,330
28,399
29,332
30,330
31,463
32,395
33,394
34,459
35,463
36,457
37,401
38,397
39,390
40,521
41,455
42,394
43,373
44,395
45,328
46,465
47,407
48,527
49,398
50,328
51,463
52,396
53,404
54,445
55,578
56,462
57,449
58,328
59,331
60,465
61,388
62,455
63,472
64,389
65,404
66,330
67,335
68,523
69,387
70,335
71,453
72,470
73,470
74,391
75,341
76,456
77,464
78,470
79,531
80,328
81,334
82,335
83,457
84,396
85,453
86,407
87,401
88,401
89,457
90,456
91,404
92,403
93,450
94,338
95,328
96,586
97,529
98,461
99,456
100,394
101,328
102,583
103,470
104,401
105,454
106,390
107,457
108,403
109,446
110,462
111,457
112,448
113,465
114,457
115,444
116,526
117,455
118,590
119,469
120,335
121,582
122,472
123,457
124,590
125,517
126,593
127,462
128,396
129,463
130,396
131,581
132,591
133,466
134,588
135,395
136,535
137,396
138,475
139,555
140,457
141,531
142,397
143,534
144,543
145,453
146,590
147,339
148,464
149,593
150,458
151,465
152,591
153,455
154,462
155,597
156,411
157,403
158,330
159,456
160,406
161,539
162,660
163,328
164,403
165,581
166,521
167,598
168,392
169,394
170,330
171,401
172,519
173,465
174,536
175,602
176,598
177,392
178,394
179,402
180,459
181,470
182,330
183,448
184,394
185,454
186,464
187,530
188,464
189,528
190,525
191,533
192,531
193,594
194,455
195,463
196,527
197,455
198,463
199,463
200,403
201,403
202,385
203,397
204,396
205,600
