Time,java.sql.Timestamp Data
0,469
1,1902
2,802
3,1748
4,1710
5,161
6,1987
7,1775
8,1869
9,1372
10,1135
11,560
12,1888
13,1887
14,352
15,1785
16,1647
17,198
18,1234
19,108
20,679
21,1873
22,836
23,1929
24,2451
25,2248
26,540
27,354
28,2153
29,278
30,276
31,1536
32,1968
33,1940
34,1664
35,294
36,175
37,2309
38,701
39,722
40,214
41,400
42,73
43,2015
44,562
45,2269
46,1773
47,1986
48,928
49,1158
50,599
51,2468
52,1990
53,1133
54,153
55,2019
56,522
57,791
58,2140
59,1139
60,1178
61,105
62,2140
63,337
64,150
65,1800
66,2624
67,2132
68,286
69,1384
70,1217
71,2007
72,2761
73,2323
74,156
75,802
76,205
77,920
78,1750
79,771
80,1541
81,1755
82,711
83,1396
84,1891
85,871
86,655
87,1252
88,1219
89,147
90,3262
91,3505
92,1929
93,1926
94,1730
95,124
96,3058
97,2583
98,735
99,619
100,132
101,1478
102,1050
103,536
104,1966
105,1353
106,536
107,2162
108,1378
109,592
110,3451
111,751
112,3856
113,2238
114,221
115,3026
116,3336
117,759
118,3766
119,2346
120,3411
121,2038
122,926
123,1955
124,296
125,2495
126,3472
127,2019
128,3783
129,1054
130,2396
131,982
132,2709
133,3792
134,1884
135,3629
136,328
137,2484
138,3805
139,788
140,3843
141,1410
142,2096
143,3914
144,1852
145,2081
146,3914
147,1849
148,2012
149,3826
150,1640
151,1188
152,99
153,1759
154,1653
155,2807
156,4124
157,105
158,1050
159,2487
160,2434
161,3817
162,286
163,1674
164,1429
165,2256
166,2040
167,3394
168,3917
169,3999
170,286
171,1603
172,940
173,1950
174,2752
175,167
176,611
177,1756
178,834
179,1972
180,2093
181,1876
182,2224
183,3090
184,2253
185,2965
186,3793
187,1249
188,1925
189,2091
190,1216
191,1813
192,1966
193,847
194,1577
195,499
196,376
197,406
198,4108
