Time,java.util.AbstractList$Itr Data
0,1530
1,2653
2,2601
3,2187
4,2236
5,625
6,3367
7,2780
8,180
9,2702
10,965
11,2234
12,1063
13,2647
14,3218
15,1468
16,2925
17,2714
18,603
19,1753
20,613
21,2470
22,2791
23,3113
24,3125
25,4246
26,3926
27,614
28,567
29,1693
30,4356
31,1366
32,983
33,3663
34,3505
35,3054
36,2565
37,1348
38,342
39,4766
40,2529
41,1164
42,1027
43,1804
44,258
45,3973
46,1064
47,4414
48,2494
49,162
50,3624
51,902
52,2368
53,1455
54,4351
55,3811
56,2160
57,163
58,481
59,3823
60,1716
61,2811
62,4644
63,1888
64,2513
65,620
66,3965
67,1050
68,1014
69,2293
70,3953
71,4538
72,941
73,1772
74,2770
75,3779
76,4235
77,5268
78,451
79,891
80,1136
81,2633
82,2781
83,2812
84,2239
85,3062
86,2485
87,2930
88,2905
89,2362
90,1927
91,1775
92,745
93,452
94,5673
95,5227
96,3379
97,2761
98,2210
99,307
100,5789
101,4540
102,2341
103,1560
104,172
105,3218
106,1935
107,1308
108,3667
109,2519
110,1491
111,4519
112,2785
113,1236
114,4802
115,2537
116,6249
117,4369
118,1195
119,5648
120,5403
121,2919
122,5960
123,4500
124,6705
125,3937
126,1047
127,3431
128,1204
129,4982
130,7138
131,3823
132,6265
133,2620
134,5575
135,1191
136,4224
137,5860
138,2617
139,5975
140,1456
141,4244
142,7014
143,2813
144,6410
145,1696
146,4112
147,6854
148,2647
149,4256
150,6854
151,2617
152,3791
153,6705
154,1333
155,2513
156,192
157,2170
158,2598
159,5286
160,7446
161,451
162,1935
163,4795
164,4963
165,5862
166,783
167,2182
168,192
169,1475
170,4381
171,3967
172,4880
173,7170
174,7244
175,783
176,1883
177,2073
178,3079
179,4089
180,612
181,1810
182,2426
183,3101
184,3445
185,4124
186,3214
187,4414
188,5229
189,4979
190,5110
191,5989
192,2904
193,3179
194,3622
195,3049
196,2783
197,3504
198,2359
199,1765
200,1477
201,1504
202,1038
203,8033
