Time,java.util.ArrayList$Itr Data
0,1287
1,3449
2,1975
3,2762
4,2612
5,531
6,3556
7,2969
8,110
9,2894
10,1642
11,2354
12,967
13,2996
14,3138
15,1315
16,2834
17,2529
18,460
19,2169
20,365
21,2155
22,2898
23,2349
24,2914
25,4141
26,3640
27,789
28,515
29,531
30,3657
31,751
32,877
33,3107
34,3099
35,2959
36,2376
37,775
38,348
39,4307
40,1983
41,1331
42,702
43,1093
44,169
45,3600
46,916
47,4077
48,2598
49,3136
50,1431
51,2256
52,1131
53,4006
54,3076
55,2079
56,99
57,364
58,3239
59,1463
60,2182
61,3564
62,1953
63,2324
64,242
65,270
66,3385
67,913
68,500
69,2338
70,4017
71,3442
72,867
73,1827
74,2335
75,3090
76,4296
77,4000
78,356
79,1252
80,569
81,2076
82,2531
83,2063
84,2069
85,2540
86,1902
87,2509
88,2762
89,1443
90,1648
91,2013
92,1160
93,287
94,5223
95,4948
96,2820
97,2723
98,2303
99,219
100,4938
101,4077
102,1840
103,1418
104,170
105,2777
106,1880
107,1217
108,3074
109,2349
110,1321
111,3547
112,2458
113,1065
114,4582
115,1867
116,5309
117,3628
118,552
119,4763
120,4460
121,1926
122,5254
123,3552
124,5529
125,3014
126,1390
127,2870
128,655
129,4264
130,5684
131,3122
132,5312
133,1598
134,4146
135,1508
136,3860
137,5291
138,2538
139,5155
140,765
141,3690
142,5553
143,1912
144,5575
145,1560
146,3251
147,5729
148,2546
149,3201
150,5733
151,2404
152,2920
153,5459
154,1727
155,2198
156,142
157,2136
158,2255
159,4470
160,6160
161,233
162,1829
163,3856
164,3900
165,5177
166,764
167,2012
168,169
169,1604
170,3601
171,3080
172,4413
173,5994
174,5769
175,803
176,1899
177,1746
178,2745
179,3800
180,379
181,1425
182,2256
183,1945
184,2770
185,3379
186,2542
187,3666
188,4494
189,3610
190,4406
191,5237
192,2255
193,2589
194,2920
195,2293
196,2349
197,2774
198,1778
199,1813
200,1043
201,927
202,1040
203,6209
