Time,java.util.ArrayList Data
0,82802
1,140429
2,133556
3,136155
4,137631
5,118509
6,144559
7,143012
8,107693
9,133639
10,125557
11,127939
12,119779
13,138794
14,140009
15,121595
16,141003
17,137404
18,115906
19,135512
20,110451
21,126083
22,138921
23,129344
24,141317
25,150029
26,147887
27,114660
28,119530
29,117148
30,121715
31,148625
32,116278
33,115342
34,141553
35,142391
36,139463
37,140717
38,121080
39,115836
40,154194
41,132383
42,123513
43,121914
44,118313
45,112280
46,145127
47,121817
48,148326
49,140444
50,114143
51,143732
52,130350
53,137979
54,125384
55,155014
56,140411
57,125091
58,112096
59,115713
60,146488
61,123521
62,130357
63,150441
64,135275
65,137337
66,118709
67,121071
68,143090
69,120181
70,118201
71,136813
72,153653
73,150584
74,114645
75,131291
76,131258
77,143794
78,158177
79,153314
80,115692
81,129097
82,122052
83,136571
84,143882
85,133645
86,132599
87,140655
88,125909
89,139325
90,139328
91,126530
92,129491
93,133589
94,130354
95,117292
96,170005
97,170057
98,139821
99,136925
100,136139
101,113756
102,157993
103,156641
104,127637
105,132187
106,116749
107,143731
108,136957
109,126308
110,140642
111,136159
112,122270
113,146392
114,139852
115,122055
116,165055
117,131390
118,172552
119,154488
120,123495
121,163177
122,159165
123,132610
124,167856
125,150970
126,172830
127,146680
128,130721
129,146399
130,123236
131,158089
132,177398
133,152161
134,166292
135,128627
136,153987
137,129055
138,157457
139,171866
140,140490
141,172952
142,123696
143,152382
144,175186
145,134681
146,167991
147,131060
148,148359
149,174797
150,142770
151,150499
152,176217
153,141909
154,148348
155,177801
156,137944
157,141059
158,115535
159,137173
160,137852
161,160746
162,178579
163,116854
164,136859
165,155943
166,159386
167,175966
168,122588
169,143854
170,115619
171,131159
172,152240
173,148970
174,163332
175,178498
176,178354
177,121445
178,139625
179,132574
180,147411
181,158685
182,116023
183,124909
184,138492
185,131821
186,145777
187,149842
188,145422
189,152496
190,168673
191,156176
192,166174
193,177414
194,132033
195,142625
196,145421
197,134135
198,142911
199,146631
200,132653
201,136234
202,128376
203,126258
204,126876
205,185992
