Time,java.util.Collections$UnmodifiableSet Data
0,3164
1,3649
2,3607
3,3842
4,3951
5,3892
6,4165
7,4265
8,3748
9,4023
10,4110
11,4091
12,4177
13,4437
14,4531
15,4498
16,4747
17,4833
18,4789
19,5042
20,3989
21,4129
22,4366
23,4336
24,4564
25,4703
26,4788
27,4710
28,4835
29,4920
30,4981
31,5241
32,3948
33,4063
34,4307
35,4412
36,4521
37,4612
38,4566
39,4665
40,4957
41,4896
42,4991
43,5097
44,4000
45,4088
46,4379
47,4295
48,4583
49,4664
50,4594
51,4875
52,4953
53,5058
54,5029
55,5309
56,4130
57,4102
58,4179
59,4272
60,4550
61,4512
62,4627
63,4865
64,4946
65,5041
66,4990
67,5084
68,4154
69,4100
70,4186
71,4444
72,4576
73,4666
74,3939
75,4166
76,4160
77,4402
78,4647
79,4620
80,4545
81,4789
82,4747
83,4885
84,5118
85,5086
86,4078
87,4197
88,4161
89,4397
90,4509
91,4468
92,4571
93,4682
94,4878
95,4856
96,5286
97,5386
98,4120
99,4227
100,4329
101,4265
102,4578
103,4671
104,4605
105,4707
106,4792
107,5045
108,5139
109,5118
110,4112
111,4089
112,4186
113,4434
114,4522
115,4492
116,4884
117,4705
118,5110
119,5058
120,4988
121,5290
122,4269
123,4091
124,4490
125,4452
126,4697
127,4645
128,4722
129,4835
130,4791
131,5084
132,5319
133,5260
134,4289
135,4093
136,4355
137,4410
138,4675
139,4791
140,4734
141,5007
142,4787
143,5070
144,5328
145,5121
146,4314
147,4224
148,4357
149,4630
150,4560
151,4668
152,4938
153,4868
154,4966
155,5240
156,5159
157,5262
158,3966
159,4226
160,4323
161,4472
162,4736
163,4475
164,4731
165,4882
166,4980
167,5215
168,5014
169,5255
170,3966
171,4220
172,4360
173,4448
174,4698
175,4838
176,4922
177,4706
178,4946
179,4921
180,5165
181,5294
182,3966
183,4097
184,4336
185,4312
186,4545
187,4671
188,4740
189,4873
190,5113
191,5069
192,5313
193,5432
194,4003
195,4235
196,4352
197,4313
198,4539
199,4659
200,4613
201,4838
202,4810
203,4911
204,5016
205,5438
