Time,java.util.Date Data
0,537
1,1501
2,909
3,1185
4,1355
5,416
6,1556
7,1419
8,176
9,1277
10,1067
11,1004
12,607
13,1416
14,1217
15,572
16,1357
17,1326
18,351
19,1014
20,216
21,700
22,1400
23,806
24,1440
25,1790
26,1463
27,243
28,579
29,267
30,452
31,1599
32,424
33,489
34,1325
35,1545
36,1511
37,1419
38,581
39,415
40,1791
41,735
42,798
43,441
44,508
45,411
46,1664
47,684
48,1838
49,1412
50,327
51,1559
52,987
53,1164
54,726
55,1911
56,1410
57,891
58,326
59,328
60,1592
61,579
62,785
63,1595
64,948
65,1068
66,339
67,376
68,1661
69,606
70,485
71,1483
72,2076
73,1750
74,494
75,1249
76,1084
77,1596
78,2158
79,1907
80,420
81,906
82,555
83,955
84,1433
85,873
86,1179
87,1482
88,836
89,1209
90,1478
91,967
92,816
93,1071
94,931
95,391
96,2461
97,2572
98,1377
99,1418
100,1370
101,374
102,2138
103,1948
104,777
105,707
106,388
107,1194
108,989
109,593
110,1397
111,1088
112,595
113,1606
114,1198
115,612
116,2294
117,808
118,2780
119,1801
120,516
121,2265
122,2298
123,931
124,2658
125,1793
126,2574
127,1668
128,1035
129,1615
130,571
131,1923
132,2614
133,1674
134,2527
135,974
136,1861
137,991
138,1998
139,2708
140,1474
141,2601
142,533
143,1825
144,2696
145,853
146,2658
147,1217
148,1716
149,2854
150,1551
151,1715
152,2855
153,1525
154,1654
155,2801
156,1399
157,1159
158,434
159,1461
160,1480
161,2154
162,3013
163,436
164,1131
165,1929
166,1990
167,2823
168,601
169,1442
170,413
171,1305
172,1821
173,1676
174,2556
175,2875
176,2911
177,642
178,1362
179,1021
180,1601
181,2120
182,479
183,789
184,1465
185,878
186,1628
187,1729
188,1547
189,1886
190,2329
191,1833
192,2333
193,2852
194,1067
195,1514
196,1623
197,1068
198,1443
199,1620
200,932
201,1320
202,647
203,643
204,660
205,2931
