Time,java.util.GregorianCalendar Data
0,454
1,661
2,648
3,660
4,660
5,462
6,679
7,665
8,141
9,514
10,452
11,484
12,486
13,521
14,520
15,486
16,526
17,524
18,323
19,504
20,134
21,477
22,507
23,486
24,518
25,693
26,669
27,294
28,476
29,301
30,314
31,531
32,297
33,455
34,654
35,673
36,672
37,806
38,620
39,469
40,841
41,485
42,627
43,491
44,308
45,593
46,817
47,627
48,840
49,657
50,452
51,683
52,691
53,707
54,695
55,910
56,352
57,467
58,448
59,301
60,672
61,468
62,487
63,527
64,482
65,494
66,452
67,459
68,675
69,762
70,610
71,818
72,983
73,834
74,447
75,690
76,687
77,724
78,910
79,898
80,512
81,679
82,670
83,694
84,718
85,701
86,352
87,799
88,621
89,640
90,660
91,636
92,621
93,626
94,638
95,455
96,1021
97,1020
98,360
99,515
100,660
101,463
102,712
103,690
104,488
105,492
106,472
107,516
108,502
109,492
110,355
111,480
112,478
113,536
114,657
115,483
116,834
117,606
118,1012
119,799
120,583
121,982
122,548
123,788
124,888
125,843
126,1033
127,838
128,792
129,830
130,624
131,856
132,1039
133,836
134,568
135,637
136,695
137,637
138,675
139,890
140,673
141,883
142,475
143,704
144,752
145,648
146,727
147,644
148,837
149,1062
150,835
151,841
152,1054
153,826
154,837
155,1054
156,822
157,660
158,592
159,805
160,810
161,847
162,1058
163,607
164,794
165,907
166,1056
167,1102
168,681
169,865
170,587
171,789
172,973
173,818
174,1018
175,1040
176,1038
177,767
178,795
179,776
180,820
181,917
182,598
183,773
184,807
185,640
186,823
187,832
188,819
189,994
190,1015
191,844
192,1013
193,1193
194,623
195,662
196,675
197,645
198,669
199,825
200,634
201,662
202,621
203,627
204,621
205,906
