Time,java.util.HashMap$Entry Data
0,438668
1,594328
2,616266
3,622811
4,653063
5,598260
6,737500
7,747711
8,531911
9,690069
10,663595
11,732121
12,717171
13,799986
14,834399
15,790384
16,880899
17,893908
18,811802
19,907528
20,695118
21,828559
22,881926
23,896815
24,938141
25,1021079
26,1026552
27,883192
28,942351
29,941321
30,991820
31,1128763
32,853841
33,886683
34,1031417
35,1051678
36,1061026
37,1090417
38,1041583
39,1015680
40,1230133
41,1138348
42,1131175
43,1139816
44,993582
45,1003038
46,1189214
47,1094692
48,1250235
49,1202301
50,1107469
51,1279305
52,1220819
53,1293463
54,1273881
55,1430466
56,1180512
57,1158708
58,1121340
59,1147997
60,1328964
61,1243098
62,1311958
63,1408857
64,1335195
65,1382858
66,1318146
67,1357419
68,1342369
69,1281602
70,1291267
71,1382351
72,1498852
73,1511672
74,1261445
75,1367967
76,1411782
77,1476369
78,1554287
79,1598932
80,1412329
81,1481487
82,1500783
83,1586820
84,1621628
85,1628300
86,1428659
87,1531872
88,1506865
89,1557960
90,1578471
91,1582067
92,1600575
93,1614939
94,1612177
95,1591767
96,1862719
97,1877866
98,1585541
99,1608427
100,1635498
101,1562280
102,1798940
103,1797874
104,1710089
105,1726776
106,1686091
107,1820451
108,1809813
109,1795458
110,1708980
111,1725361
112,1696815
113,1833890
114,1818832
115,1765484
116,1965990
117,1870223
118,2069977
119,2013367
120,1896761
121,2113190
122,1913534
123,1878383
124,2022298
125,1995164
126,2114880
127,2015244
128,1946895
129,2049482
130,1982606
131,2155469
132,2272159
133,2170630
134,2063016
135,1971853
136,2107658
137,1980090
138,2125681
139,2224157
140,2098515
141,2278630
142,2087776
143,2236969
144,2365980
145,2219563
146,2206739
147,2071312
148,2200428
149,2342751
150,2203329
151,2277159
152,2413835
153,2265071
154,2325787
155,2484896
156,2299604
157,2346750
158,2107587
159,2216572
160,2261218
161,2392621
162,2506293
163,2225992
164,2338711
165,2461263
166,2512971
167,2581933
168,2371161
169,2478350
170,2225904
171,2313547
172,2456349
173,2455344
174,2532786
175,2641779
176,2660903
177,2426668
178,2500091
179,2525102
180,2591044
181,2673798
182,2357692
183,2428144
184,2491810
185,2510513
186,2579084
187,2626767
188,2614946
189,2698325
190,2761058
191,2750973
192,2802196
193,2883194
194,2549693
195,2597659
196,2639345
197,2629737
198,2657420
199,2720118
200,2687170
201,2690227
202,2701411
203,2726081
204,2734792
205,3034226
