Time,java.util.HashMap$EntrySet Data
0,3939
1,5179
2,4533
3,5088
4,5086
5,3521
6,5646
7,5414
8,3499
9,5575
10,4678
11,4917
12,4373
13,5797
14,5899
15,4377
16,5932
17,5501
18,4253
19,5699
20,4242
21,5366
22,6291
23,5718
24,6446
25,7451
26,7184
27,4458
28,5148
29,4636
30,5114
31,7146
32,5112
33,5127
34,6993
35,7099
36,7073
37,6770
38,5427
39,5272
40,8117
41,6444
42,5987
43,5839
44,5906
45,5403
46,7812
47,6209
48,8182
49,7478
50,5644
51,7945
52,6698
53,7147
54,6818
55,8997
56,8233
57,7542
58,6054
59,6223
60,8486
61,7111
62,7600
63,8814
64,7904
65,7789
66,6450
67,6613
68,9010
69,7267
70,6860
71,8598
72,9645
73,9281
74,7224
75,8119
76,8668
77,9297
78,10192
79,9935
80,7308
81,8042
82,7535
83,8883
84,9345
85,8764
86,8906
87,9515
88,8641
89,9584
90,9801
91,8671
92,8730
93,9471
94,8767
95,8066
96,12030
97,11931
98,10248
99,10200
100,9997
101,8318
102,12113
103,11362
104,9428
105,9552
106,8631
107,10602
108,9829
109,9576
110,10953
111,10574
112,9766
113,11416
114,10803
115,9916
116,12733
117,10332
118,13475
119,11739
120,9500
121,13062
122,12798
123,10713
124,13669
125,12460
126,13806
127,11925
128,10624
129,11880
130,10121
131,13057
132,14261
133,12238
134,14234
135,11237
136,12973
137,11146
138,13118
139,14387
140,12283
141,14428
142,10815
143,13300
144,14685
145,11862
146,14908
147,11790
148,13104
149,15232
150,12812
151,13290
152,15382
153,12927
154,13263
155,15420
156,12508
157,12546
158,11215
159,13085
160,12809
161,14667
162,16195
163,11539
164,12718
165,14729
166,14722
167,15874
168,12052
169,13499
170,11844
171,13066
172,14796
173,14327
174,15460
175,16621
176,16661
177,12513
178,13865
179,13392
180,14481
181,15352
182,12587
183,13507
184,14376
185,14023
186,14842
187,15163
188,14828
189,15421
190,16663
191,15599
192,16352
193,17230
194,14792
195,15216
196,15513
197,14955
198,15232
199,15514
200,14430
201,14818
202,14319
203,14058
204,14016
205,18440
