Time,java.util.HashMap$KeyIterator Data
0,2180
1,10037
2,5229
3,8216
4,8501
5,916
6,9896
7,9175
8,114
9,9077
10,6762
11,6580
12,2987
13,9781
14,9658
15,1797
16,9734
17,8944
18,785
19,7518
20,395
21,4274
22,9913
23,4833
24,10410
25,12682
26,11405
27,99
28,1874
29,330
30,1528
31,11162
32,2200
33,1324
34,9789
35,10676
36,9531
37,9276
38,2089
39,773
40,12640
41,4487
42,3623
43,1242
44,2627
45,117
46,11008
47,3096
48,12079
49,9717
50,10494
51,5931
52,7754
53,2704
54,13003
55,10886
56,5807
57,1279
58,11208
59,2448
60,4554
61,12108
62,6761
63,7268
64,289
65,1285
66,11554
67,1780
68,1457
69,8770
70,14475
71,12032
72,1300
73,7068
74,7203
75,10723
76,16311
77,13176
78,488
79,5261
80,1671
81,6265
82,9180
83,4547
84,8776
85,9684
86,4800
87,8622
88,9402
89,3732
90,4906
91,6611
92,5964
93,326
94,18259
95,18690
96,10436
97,9298
98,8537
99,248
100,16198
101,14374
102,4827
103,4317
104,599
105,9487
106,7324
107,2602
108,10597
109,8478
110,2743
111,11502
112,8706
113,2566
114,18096
115,4396
116,20159
117,12243
118,1721
119,16169
120,17599
121,4788
122,19792
123,12491
124,19904
125,10825
126,5481
127,10612
128,2141
129,13543
130,19919
131,11555
132,19867
133,5320
134,13408
135,5641
136,15821
137,20651
138,9208
139,20037
140,2310
141,12488
142,20500
143,4515
144,20059
145,6863
146,11445
147,20985
148,9880
149,11492
150,20838
151,9190
152,10848
153,21051
154,7799
155,7852
156,749
157,8796
158,8888
159,16484
160,22232
161,282
162,7525
163,13183
164,13705
165,20883
166,1252
167,8646
168,737
169,7180
170,12349
171,11795
172,17813
173,21561
174,21522
175,1274
176,8066
177,5807
178,10012
179,14883
180,527
181,2962
182,8624
183,4771
184,10697
185,11628
186,10158
187,12009
188,17912
189,12912
190,16682
191,19818
192,7249
193,10487
194,11271
195,7034
196,9947
197,10679
198,5280
199,7729
200,3130
201,2437
202,2101
203,22835
