Time,java.util.HashMap$KeySet Data
0,6863
1,9279
2,8135
3,9250
4,9498
5,7363
6,10219
7,10115
8,6827
9,9649
10,8978
11,9011
12,8334
13,10431
14,10450
15,8533
16,10811
17,10517
18,8719
19,10874
20,7376
21,8712
22,10405
23,9177
24,10801
25,11808
26,11631
27,8477
28,9329
29,8882
30,9224
31,12115
32,7730
33,7883
34,10346
35,10749
36,10804
37,10706
38,8743
39,8730
40,12337
41,10114
42,10007
43,9601
44,8054
45,7709
46,10840
47,8878
48,11459
49,10932
50,8515
51,11576
52,10388
53,10885
54,10156
55,13118
56,10509
57,9589
58,7959
59,8248
60,11266
61,9349
62,9926
63,11920
64,10983
65,10982
66,9319
67,9547
68,10849
69,8612
70,8291
71,10785
72,12373
73,11692
74,8027
75,9717
76,10068
77,11144
78,12718
79,11972
80,8838
81,10233
82,9299
83,10988
84,11963
85,10803
86,9954
87,10647
88,9322
89,10801
90,11243
91,9639
92,10015
93,11086
94,10698
95,9426
96,14693
97,14873
98,10802
99,10863
100,10800
101,8539
102,13320
103,12833
104,10139
105,10352
106,9481
107,12021
108,11407
109,10744
110,10952
111,10580
112,9417
113,11711
114,11176
115,9875
116,14177
117,10510
118,15042
119,12929
120,10012
121,14581
122,12867
123,9737
124,14053
125,12323
126,14295
127,11988
128,10745
129,12216
130,9935
131,13610
132,15365
133,13015
134,13872
135,9846
136,12201
137,10409
138,13201
139,14722
140,12008
141,14917
142,10111
143,13397
144,15402
145,11428
146,14072
147,10430
148,11873
149,14751
150,11880
151,12375
152,15218
153,12296
154,12705
155,15659
156,12335
157,12207
158,8615
159,11289
160,11054
161,13388
162,15309
163,9442
164,11328
165,13551
166,13650
167,15641
168,10546
169,12822
170,8739
171,10733
172,12586
173,12175
174,14131
175,15368
176,15524
177,10171
178,12337
179,11588
180,13141
181,14579
182,8922
183,9989
184,11634
185,10640
186,12340
187,12754
188,12547
189,13193
190,15109
191,13615
192,14981
193,16205
194,10929
195,11892
196,12329
197,11388
198,12269
199,12627
200,11218
201,12145
202,11085
203,10892
204,11149
205,16776
